brian taylor |  LOV
pers  biz income should be taxed once regardless of tax authority  hard to accmplish with multiple gvt levels needing funds  pers income taxfree states get there but their expenses are met with prop  sales  etc taxes  most states tax biz income but pers stockholders shouldn’t pay tax on dividends as biz pays a tax b4 distributing  maybe dividends like interest exp should be deductible instead  death  estate  taxes are worst example of double taxing  all peoples’ property is bought with previously taxed income  in a previous admin  maybe clinton   eliminating deductions for 2nd homesyachts was attempted but failed politically  i favor the non deduct of 2nd home intprop tax  |  ANG
even though she is a moderate  she still votes to keep scum like mitch mcconnell in power  i wish she would run for governor so maine could elect a real progressive  |  LOV
looks like you deplorables are going to have a long 4 years  with all your winning   hahahaha      |  ANG
there s only one problem with drugs  they wear off lol |  ANG
jaime salz |  LOV
what a jerk  |  ANG
good  the country needs her in the senate  |  LOV
please register and vote  |  ANG
one of my favorite illustrators  |  LOV
lucy stubler |  LOV
truly moved thanks for sharing |  LOV
beautiful story  both men are very lucky  |  LOV
thank you susan collins  at least one sane senator  |  LOV
😡 |  ANG
katie feltonmoore 😊 |  LOV
obviously  he s so hot right now  |  LOV
this man was a riot    |  LOV
dotardus corrumpt  |  ANG
  storyfbid1579612945409462  id203805062990264 |  ANG
values voters    what an oxymoron   american talibanaltright |  ANG
thank you for your support for the regular people of the united states    sticker   |  LOV
government  healthcare  garbage  |  ANG
chastity belt and hangers  |  ANG
rats  simply horrible heartless rats  |  ANG
bravo  |  LOV
keep abortion legal  |  ANG
he s winning  so winning  are we all tired of winning  |  ANG
is that like the virgin islands  hawaii  puerto rico  |  ANG
 during a meeting    a  legal scholar had said that  if the supreme court did so  many states would likely legalize abortion on their own  you see   trump asked pence  you ve wasted all this time and energy on it  and it s not going to end abortion anyway     from the new yorker 🤡😜😆 |  ANG
  utmcontentmain  utmcampaignsf  utmsourcefacebook  utmmediumsocialmarketing |  LOV
again  take away standard deductions from those affected most  middle class and poor  of course the extravagant tax break for don and other millionaires   ivanka and jared for example  will allow them to reinvest in the economy  wall street   trickle down does not work reagan  bush  bush and now don  |  ANG
wonderful segment  |  LOV
liar through his bs speech |  ANG
1789 |  ANG
we all know their tax plan favors the rich and getting rid of the estate tax is a huge win for all of them  they will still keep deductions by using them in their businesses just like they do now  not for middle america at all |  ANG
it was on the internet so it must be real |  LOV
take your meds  trump  |  ANG
trump’s state of mind  a never ending search for new enemies    a sick mind |  ANG
what a wanker |  ANG
the greed over people party  will turn her into a democrat before this is through  |  LOV
unspoken elements  your an idiot |  ANG
anyone who voted for this pig has no values  |  ANG
  sticker   |  LOV
|  ANG
micah e wood |  LOV
full of crap |  ANG
need to make it available over the counter |  ANG
grand theft is not a tax plan  |  ANG
liddle donwad loudmouth  |  ANG
when it s men using birth control  it s not even be an issue  |  ANG
 mfacebookcomstoryphp  storyfbid10155841699504540  id1629925673968109 |  ANG
not even  propregnancy   these cheap insurance policies 45 is promoting will probably not provide maternity benefits  and then if chip does not get funded more women will be left with no care  |  ANG
trumpfoolery |  ANG
mindy kremer |  LOV
moron  |  ANG
no that president left the white house 2016 |  ANG
 krugmanblogsnytimescom20171014lieslieslieslieslieslieslieslieslieslies  r0 |  ANG
that dude does nt pick up the dog crap  |  LOV
beautiful man thank you for this  |  LOV
cute in a mall kiosk way  but not art  |  LOV
what a positive attitude  |  LOV
my favorite yet  thank you pbs for presenting brief but spectacular  it s a gem of a show  |  LOV
i think they need to get him off the cocaine  |  ANG
kim wootton |  LOV
pedophilia betterment society  pbs  |  ANG
the war in afghanistan has nothing to do with  freedom  or fighting terrorism  that s how the war industry feeds itself by funding and arming the fictitious enemy they re allegedly fighting  look how our  heroes  are guarding the opium fields  they are not heroes actually  they are there to serve the rich in exchange of some benefits for themselves  the war industry as well as the veterans are liabilities on ordinary taxpayers       |  LOV
the sympathizer is an amazing book |  LOV
can this man do anything beside destroy  how about doing something constructive for once  |  ANG
check out his  page  he s a shill   a player  just looking to antagonize  |  LOV
why not become a democrat susan  you seem much more in line with them than trump and his gang of cut throats  |  LOV
eliot w collins some of the poor will actually see a tax increase from 10  to 12  how fair is that  |  ANG
trump is going to kill a lot of americans  out of spite  |  ANG
i ve always loved his s   one of my first looks at weims  |  LOV
cut taxes  increase defense spending  deficit  who cares  iokiyar |  ANG
and may he never find himself truly desperate  either  |  LOV
gregory malush because you re infatuated with anus  maybe you re facilitating my entire girth inside you  |  ANG
dennis maye that may have been the case when your family crossed the atlantic  these people are refugees and the geneva convention gives them the right to flee conflict go spew your hate on infowars  |  LOV
he does not care |  ANG
why blame him  it s the idiots that voted for him  |  ANG
both parties are still corrupt  however  if you belong to either  you re a traitor that must suck signed ind voters |  LOV
taxes are way harder than they thought  |  ANG
pink floyd had it right   money it s shame  |  ANG
they look just like finn  ❤️ |  LOV
i ca nt watch  |  ANG
politicians are all crooks period  |  ANG
idiot |  ANG
insurance  it s truly a strange concept  we buy life insurance  car insurance  home owners insurance and health insurance  the principle is the same for all  you pay into a system so that you are assured that if you get into a car accident  or your child breaks a neighbor s window  or someone slips on your front steps  or you need an appendectomy  the bills can be paid  you may not need many of this things  but knowing that you can cover those expenses of you do takes away some of the worry  we do nt say  well  i do nt have front steps so i do nt need that part  or  i do nt drive so our premium should be half of what you pay cause both you and your spouse drive  or  i am a single woman so my insurance should nt cover prostate exams  when did we lose it in all this  |  ANG
unless you invite me into your bedroom  stay out of my wallet and pay for your own sex related items  |  ANG
superb  i guess a really fine wit stays with you  |  LOV
thank you because america needs you more than ever🇺🇸🇺🇸 |  LOV
i really hate this phuck  |  ANG
   |  ANG
anti abortion  pro run down the protesters  hypocrites  |  ANG
lying jerk off |  ANG
congratulations  i am sure you are an inspiration to many  |  LOV
some of us are going to die  |  ANG
go get him  em     🎼🎼🎼🎼 |  LOV
she is the breath of reason  |  LOV
lol loser  |  ANG
he saved the worst for last  smart  |  ANG
filmed in buffalo  ny  |  LOV
trump  you are a fake  |  ANG
dana sestak paris  fine  then buy an insurance policy that covers those things  no one is stopping you  but stay out of my wallet  |  ANG
 theweekcomarticles541564howamericanopiateepidemicstartedbypharmaceuticalcompany |  ANG
idiot claps for himself  |  ANG
no  thanks  you are becoming the world traveller  love it |  LOV
my favorite    |  LOV
fascinating man  |  LOV
death    |  ANG
diana lin |  LOV
hipsters |  LOV
creating more hostility |  ANG
mick silvers |  LOV
they re so genic  |  LOV
thank you  |  LOV
they throw the masses crumbs while giving themselves the bakery  |  ANG
government small enough to fit in a woman s uterus  |  ANG
trolls for trump |  ANG
it s all about the money  |  ANG
wow pbs  you actually posted something nonpolitical or divisive  congratulations 😊 at this rate you may actually earn the status of having journalistic integrity and standards by the year 2089 keep that up  |  LOV
moron  |  ANG
that s not the collins who needs to go  ny needs to get rid of theirs  |  LOV
❤️ |  LOV
jenny simpson lapoint |  LOV
m  m  peanut or plain  |  LOV
trump’s plan is a massive tax cut for the wealthy  cutting taxes for the wealthy few by an average of  40000 a year  trump would cut corporate taxes in half  and cut taxes on overseas profits to zero – rewarding companies that send jobs overseas  his plan also includes a brand new tax loophole for highflying noncorporate businesses like law firms  investment funds  and donald trump’s own real estate empire  trump would eliminate the estate tax  a huge personal benefit to his children – and millionaire heirs like them   remember  only estates over  11 million pay any estate tax   for middleclass families of 4  or more   the elimination of the standard deduction means a big tax increase  they’re even raising the tax rate on the poorest americans – those making less than  9000 a year – from 10  to 12   |  ANG
beautiful  and thank you david  |  LOV
 these distributors were merely paying homage to their god  mammon  |  ANG
nope  missed 3 flights  not even trying the last  overbooked   going to hotel now  nap time    |  LOV
just you wait and see  trump s got cards he s not showing  america plays the trump card      |  ANG
the greed will never stop |  ANG
good bye usa |  ANG
ely smith |  LOV
    |  ANG
wow |  LOV
moron |  ANG
goodness  ca nt imagine lucie being so good natured to dress and pose  although she does love her knitted winter coat  made me smile  thx  for sharing  x |  LOV
thank you  |  ANG
i like that she can help us all in the senate  we need her  |  LOV
is this real  did the president really get into a word battle with a rapper  |  LOV
ker plunk  |  LOV
if there is anything more soulless than a republican  i ca nt imagine it  |  ANG
help puerto rico you stupid fool           help california you stupid fool      derelictionofduty fat  lazy  lying traitor  child rapist  serial sexual predator  tax evader  cheater  conman  father of lies  adulter   stfu and resign  you incompetent fool     get this crackhead out of our white house     doyourjobrepublicancongress |  ANG
he is the enemy of the american people  |  ANG
loved the exhibit at the portrait gallery in washington  dc years ago  |  LOV
what s the dispute   life is a right |  ANG
corruption at its worst |  ANG
loved this❤️thank you👍 |  LOV
took a play out of obamas playbook  |  ANG
keeping it real  always😍 |  LOV
|  LOV
a man s cock does nt belong in another mans anus  period  |  ANG
he speaks so slowly because he reads at the speed of a snail  |  ANG
donna patterson geneva udell |  LOV
i m sick of winning already  |  ANG
it is interesting that this will most likely cost the government more money  |  ANG
kirby boes |  LOV
patricia williams  marshall  about thurgood marshall |  LOV
carrie ohnstad kyle ohnstad |  LOV
call kevorkian 😳 |  ANG
that was so moving  one of the best |  LOV
i think not keeping some methods of birth control will mean more abortions  |  ANG
wendi giles |  LOV
i pray that trump s grand children die of bone marrow cancer |  ANG
a lovely interview  |  LOV
best excuse to push for that medicare optionuniversal healthcare |  ANG
judy furman |  LOV
dangerous moron  |  ANG
he is playing chopin s aeolian harp etude  youtubevxlzwsjqg2y |  LOV
 pbs  pedophilia betterment society  |  ANG
i d like to give that sob a condition  |  ANG
vote her out |  LOV
i love weimaraner’s beautiful dogs |  LOV
 notonepenny |  ANG
disgusting just simply disgusting |  ANG
i loved when he was on sesame street with them doing scenes from fairy tales  |  LOV
important  |  ANG
it s about control  |  ANG
that s what the democratic party 🎉 can do for us  very scary behavior from our elected officials |  ANG
jules makingchanges remington |  LOV
sounds like collusion to me  |  ANG
skye thomas |  LOV
neither of which belongs in my healthcare plan at work  |  ANG
arlene bradleylester ❤️ |  LOV
it is good to know we have a few humans in politics😊 |  LOV
kael perejda |  LOV
be afraid  be very afraid of trump the uninformed and unqualified |  ANG
beautiful  ❤ |  LOV
so beautiful  heartbreaking  hopeful  god bless these teachers and swimmers  |  LOV
liar in chief  |  ANG
please register and vote  |  ANG
brava  |  LOV
money money money |  ANG
oh please  let him have  laryngitis  |  ANG
we need her to stop some of the worst the republicans want to do  |  LOV
thank you pbs for that information  |  ANG
take the corporations out of government |  ANG
uncomfortable  he knocked my socks off and they flew all the way down the mountain  i had to take a 6 mos  break from fiction entirely  it was an existentialist crisis i may never recover from  |  LOV
elsbeth tascioni |  ANG
right on stephanie pietry  |  LOV
liar liar pants on fire  |  ANG
drew keegan |  LOV
nothing  because he has no authority do change laws  |  ANG
omg |  LOV
disgusting subhuman  |  ANG
invoke the 25th amendment and remove this mentally ill sociopath  now  |  ANG
i doubt anyone invites you to their bedroom the way you talk  oh  by the way  i know you re a troll  |  ANG
now they can swim back  |  LOV
made me puke  thanks pbs  |  LOV
no one cares |  LOV
  animatedimagevideo   |  ANG
roy feldman |  LOV
and these people are too dense to understand that birthcontrol stops abortions  |  ANG
what wegman did or does is very cute  funny sometimes nice works |  LOV
i follow him on instagram lol |  LOV
they re rarer than hens  teeth nowadays  |  LOV
amber moses |  LOV
it sucks  |  ANG
sanctions imposed by the us carry no weight if the eu  russia  and china ignore them  |  ANG
haha  i love william wegman  i have one of his coffee table books 🤗 |  LOV
that was amazing  |  LOV
i have always found these creepy and i am not a fan of treating animals like dolls  |  LOV
man ray was an incredible artist  as was faye ray  i m not familiar with bettina  |  LOV
lies  lies  and more lies  fake  president   |  ANG
good  the country needs her  |  LOV
thank god for republicans like senator collins that have actual morals and values  |  LOV
good news for all of us  |  LOV
once again congress protects us with their cowardice |  ANG
you did nt understand reagan  you do nt understand trump  just relax  we will maga  |  ANG
mallory cannon  i remember you had these dogs  |  LOV
nancy salvage inbreed  invading another country is illegal |  LOV
if you dont like abortion  dont be anti contraceptive  |  ANG
call him what he is  a liar  |  ANG
washington ― president donald trump threatened to pull the us out of the iran nuclear agreement if congress doesn’t amend an existing law in a way that changes us commitments under the agreement ― a move that could in itself destroy the socalled joint comprehensive plan of action  “in the event we are not able to reach a solution working with congress and our allies  then the agreement will be terminated  ” trump said friday in a speech from the white house  “it is under continuous review  and our participation can be canceled by me  as president  at any time” under the 2015 jcpoa  negotiated between iran  the us and five other countries  iran has significantly scaled back its nuclear program and allowed broad access to international inspectors in exchange for sanctions relief from the international community  some of the restrictions on the number of centrifuges iran can have spinning and the amount of uranium it can enrich will expire between 10 and 15 years from when the agreement was implemented  trump’s preference  he said friday  is for congress to revise an existing us law in a way that makes those restrictions on iran’s nuclear program permanent  the revised law would also reimpose sanctions that were lifted under the nuclear accord if iran takes certain steps related to its ballistic missile program  trump said  senate foreign relations committee chairman bob corker  rtenn  and sen tom cotton  rark   have already started drafting such legislation  working in coordination with the white house  it is unclear whether the envisioned legislation would have the votes to pass  democrats  including some who voted against implementing the deal in 2015  so far have lined up against the proposal  rep eliot engel  ny   the ranking democrat on the house foreign affairs committee  slammed trump’s iran plan as an unrealistic attempt to unilaterally change the terms of an international agreement  “the president’s plan doesn’t make sense  negotiating additional terms to the nuclear deal requires a coalition of international partners  not unilateral congressional action  ” engel  who opposed the deal in 2015  said in a statement  “i strongly disagree with the president’s reckless  political decision and his subsequent threat to congress  at a moment when the united states and its allies face a nuclear crisis with north korea  the president has manufactured a new crisis that will isolate us from our allies and partners  compromising our ability to employ a diplomatic surge on the korean peninsula  ” said rep ben cardin  md    the ranking democrat on the senate foreign relations committee  who also previously opposed the iran deal  calling on lawmakers to redefine the iran deal  cardin said  is reminiscent of how trump handled immigration and health care policies  the president “is abdicating his leadership role to congress  just like with dreamers and just like with affirming and strengthening our health care system  it is a troubling pattern  we will not buy into the false premise that it is congress’ role to legislate solutions to problems of his own making  ” cardin’s statement continued  the key criticism against the trump administration’s proposal is that it rests on the assumption the us can unilaterally change its obligations under an international agreement without facing major blowback from iran or any of the other countries who helped negotiate the deal  iran’s foreign ministry warned that it would consider the nuclear agreement null if it stops receiving the benefits it was guaranteed under the 2015 agreement  “the islamic republic of iran will not be the first to withdraw from the deal  but if its rights and interests in the deal are not respected  it will stop implementing all its commitments and will resume its peaceful nuclear program without any restrictions  ” the foreign ministry said in a statement  “the president’s gambit is irresponsible and dangerous  ” daryl g kimball  executive director of the arms control association  wrote in a statement  “any attempt by the white house or congress to unilaterally change the terms of the highlysuccessful nuclear deal with iran risks setting washington on a course to violate the deal” trump’s speech follows a lengthy interagency review and months of speculation about whether he would scrap the nuclear deal or toss the decision to congress  throughout the review  trump reportedly pressured his aides to come up with a way to leave the iran deal ― even as members of his cabinet recommended remaining party to the agreement  secretary of defense james mattis testified earlier this month that abiding by the agreement is consistent with us national security interests  secretary of state rex tillerson explicitly told reporters on thursday  hours before trump threatened to terminate the agreement  that the administration planned to remain in it  the administration’s plan  previewed by tillerson on thursday  appeared to be a delicately crafted effort by trump’s advisers to give him the chance to deliver a toughsounding speech on iran while tossing to congress the consequential part of the decision about the nuclear accord’s future  tillerson did not indicate on thursday any plans for trump to threaten to scuttle the agreement if he didn’t get his way with lawmakers  trump also appeared to go beyond what tillerson had previewed on thursday when he announced his decision to authorize the treasury department to sanction “the entire islamic revolutionary guard corps for its support for terrorism” tillerson said thursday the administration would sanction irgclinked individuals and entities but would avoid sanctioning the entire military group because of potential complications if us troops encounter irgc troops on the battlefield  after months of waiving sanctions against iran and certifying its compliance  trump appeared to relish the opportunity to rail against what he described as a murderous “iranian dictatorship” he spent the first several minutes of his speech listing various grievances against the iranian regime  the iran hostage crisis that began in 1979  the 1983 marine barracks bombing in beirut  and iran’s support for various terrorist groups that threaten the us trump accused iran of committing “multiple violations” of the nuclear agreement ― hours after tillerson acknowledged iran is “under technical compliance” with the terms of the jcpoa  the apparent violations trump referred to have been described by experts as “minor infraction  s  ” that were quickly rectified  the international atomic energy agency  tasked with monitoring the use of nuclear energy  has now confirmed iranian compliance with the nuclear deal eight times  despite having the entire us intelligence community at his disposal  trump relied on vague assertions of iranian wrongdoing to build his case  “there are also many people who believe that iran is dealing with north korea  ” trump said friday  adding that he would direct the intelligence community to do a “thorough analysis” of the issue  former secretary of state john kerry  who led the us negotiating team throughout the iran deal talks  accused trump of “creating an international crisis” and urged lawmakers to act as a bulwark against the president’s plan  “president trump’s decision today is dangerous  ” kerry said in a statement  “it’s a reckless abandonment of facts in favor of ego and ideology from a president who would rather play a highstakes game of chicken with congress and with iran than admit that the nuclear agreement is working” this story has been updated to include comments from iran’s foreign ministry and former secretary of state john kerry  |  ANG
😡 |  ANG
prepare  ben dover |  ANG
bump trump     |  ANG
i wonder where all your money goes  trump  not to the us for taxes  |  ANG
lock them up congress and the licensed drug pushers 😠😠😠😠😠😠😠😠😠 |  ANG
brittany alexis orecchia |  ANG
you mean love them  |  LOV
trump is the most tremendous  yes tremendous biggest the best businessman president ever  we will win and have satisfaction guaranteed or your money back  😂 |  ANG
i take great great comfort in knowing these corrupt sob s will burn in hell for eternity  burn koch suckers burn         |  ANG
the left  they don’t believe in science  |  ANG
once again  israel and saudi arabia are using us to do what they will not do  what a idiot  |  ANG
himadri |  LOV
horrific     |  ANG
tyna mcnair |  LOV
stand for the flag  |  ANG
poser |  LOV
she saved the day for obama care and the 3 republicans are our heros but right now everyone hates the republicans like a passion they will over look the good thing those 3 did and vote demo maybe if she wants to be re elected 2020 she switches to a demo then we all can benifits of her saving the days in the future days |  LOV
so cute🤗 |  LOV
follow the money  |  ANG
congratulations malala  you inspire us  |  LOV
truly wonderful  thank you  |  LOV
marla manela davidson |  LOV
he’s jealous of and humiliated by obama this is trumps retaliation  |  ANG
the cuts do nt get really significant until  500000  |  ANG
it is absolutely ridiculous trump is still in office  |  ANG
cheryl thayer greta  ❤️ |  LOV
corporations control congress  nothing new  |  ANG
chuck torri  what s funny  do tell  |  LOV
very interestingthank you for sharing |  LOV
just finished watching your news hour  and was disappointed and appalled that no mention was made about the humanitarian crisis in puerto rico  has pbs newshour forgotten the american citizens of puerto rico  |  LOV
wonderful  you are a great senator  thank you  |  LOV
i make a bad decision  i need the government to pay for it  i want to continue to make bad decisions  so my government tells me i can  for free   of course someone else is paying for it   continue on and ca nt afford to feed this  thing  so  the government steps in  for free  feeds it  now 60 yrs later never having a job the government pays to bury this  for free  in a nice pine box  what a life  government provided  |  ANG
do nt support the  kaiser establishment  at all  yet neither the aborting of life  circumstances are an issue  🐞 |  ANG
pussy grabber |  ANG
am i the only person who finds these images a little disturbing  i guess that s art  |  LOV
bethany kuenne and jonathan kuenne   |  LOV
biased media |  ANG
i only agree with abortion when a future democrat would be born  |  ANG
my first husband and i lived in the same apartment as ruth and dick  we had a great deal of fun together |  LOV
donny john the liar in chief |  ANG
looks good |  LOV
dennis maye lol got ta love how your first  on your page is of a book called how to be a gentleman i m sure it says to attack the most vulnerable by making disparaging remarks about about refugees on the internet |  LOV
you are the dangerous one trumpo |  ANG
despicable lunatic |  ANG
i know of this  susanna is a fan |  LOV
wth are you talking about  |  ANG
melissa kibler ❤😂 |  LOV
i loved having his weimaraner calendars for many years |  LOV
i enjoyed this interview very much  this old fellow still has the kind of grace  wit  and humor that we could all hope for  |  LOV
yes  thank you  |  LOV
linda mae brown  how will that happen  please provide details  educate me  |  ANG
fantastic president |  ANG
awesome will see it again    beautifully sdone👉👉👉👉👉 |  LOV
oh snap  that s incredible  i grew up reading his coffee table books  i thought they were the best thing i had ever seen as a lil 6 year old |  LOV
this was wonderful to witness  teaching and mentoring others still in this new stage of life  |  LOV
shocker  |  ANG
gee john  the tax legislation hasn’t even been published and you’re assuming all sorts of evilgreed  what is your outline for tax equity  keep in mind that most income wealth results from abilities  diligenc  and thrift  |  ANG
it do nt feel good about hating people  so i try at all costs to avoid it  but i have to say  i truly hate donald trump  he is a disgusting pig of a person with no redeemable qualities to speak of  |  ANG
thank you  senator  |  LOV
douche bag trump  |  ANG
maine desperately needs a new governer but thank she is staying in the senate |  LOV
 screw the less fortunate  must be your motto  |  LOV
yes thank god we need her |  LOV
how are his buddies in france  branding   |  ANG
continued attack on america to start any type of conflict  and isolation  |  ANG
 miccomarticles185272trumpclaimspastpresidentsdidntcallparentsoffallensoldiersthats100false |  ANG
tax religious organizations  |  ANG
fay   |  LOV
deregulation can kill  |  ANG
trumpcare |  ANG
it s sad that christians do nt believe their own faith members will do the right thing  |  ANG
    |  ANG
his tax scam  you mean |  ANG
how wonderful  |  LOV
i believe that the effective tax rate  for the trumptards that means  real  rate  paid by big business is around 14   when trump surreptitiously released his 2005 return  the only reason he paid a measly 20  rate was the alternative minimum tax  otherwise his tax rate would have been only 6  when he claims that the new tax plan  which eliminates the amt wo nt help him personally  it s just another one of his many bold faced lies  |  ANG
😳 robert ramirez |  LOV
and they already have the greatest governor anyway  right  |  LOV
who  |  LOV
you get what you voted for        |  ANG
lets pray he develops values beyond the dollar  |  ANG
sonika rm |  LOV
no racists are racists and nazis are nazis  there is no such thing as illegal citizens but children that came over here not on their own why ca nt they be dreamers  who has the delusional mental disorder  |  LOV
they re amazing |  LOV
😡😡😡 |  ANG
always makes me think of chris and ronda rhonda jones  |  LOV
thank you senator  we need you to help stop the crazy man in the white house |  LOV
cindy brick |  LOV
what an amazing woman |  LOV
does sessions know about this  where is sessions  |  ANG
another comment  i have read his book |  LOV
come on  mueller    we ca nt take much more of this sob  |  ANG
gladys colon |  LOV
danielle  |  LOV
this is a no vote   trump never was going to make america great  he used americans to make himself profit and the gop let every step of the way  vote them all out   |  ANG
      |  LOV
good video i saw it  he keeps it real   |  LOV
love this  |  LOV
hey pro life jackasses mind your own business |  ANG
lies as usual |  ANG
idiot |  ANG
joe gumminger |  LOV
soma |  ANG
dear independent voters  the corrupt are in the minority  most democrats and republicans are good people  |  LOV
love susan  |  LOV
nadezhda jamison |  LOV
love it   |  LOV
read the pbs story  |  ANG
carole broemer |  ANG
gunnerman bfmc sleepy  where is your source  we sent the military in  they can drive trucks  but the roads were impassible  what good is a truck when you ca nt drive on the road  supplies should have been air lifted  despite what trump says  our military should be helping  you ca nt expect people without water and food to work clearing the roads  |  ANG
thank you ann |  LOV
troll |  ANG
inspiring  makes me want to learn more |  LOV
william wegman my friend     |  LOV
loved this on the newshour           |  LOV
i dont even have to read it  based on the history of this administration  it stinks and is no use to regular americans  |  ANG
i m sick of winning already  |  ANG
  |  ANG
shared |  ANG
n e farms  hawesville  ky  |  ANG
mark holmes |  LOV
what an incredible man |  LOV
antichoice is unamerican |  ANG
thank you  they need you |  LOV
eliot w collins 24k if married  do nt sugarcoat your lies  |  ANG
moron    |  ANG
100th  i m sorry  but  i ve never heard of you or thisi must been living under a rock  |  LOV
trumpcare  |  ANG
natasha |  LOV
opioid deaths were on the rise throughout obama s stint  it s not a coincidence        |  ANG
stop abortion  abortion can be stopped with forethought before foreplay  |  ANG
sian fillingim |  LOV
what s the matter with you libtards   you ca nt handle the truth    |  ANG
really enjoyed the movie  |  LOV
more trickledown   |  ANG
bambi |  ANG
justin |  LOV
