you sound like drumpf  raven capps crowl |  SAD
more killing is not the answer  compassion for our fellow man is the solution  |  SAD
tax religious organizations  |  ANG
horrible  |  SAD
what i question is all the people that look up to him  he is such a loathsome character  |  SAD
so it is ok to wring our hands and cry  think of the children  when the issue of bathrooms comes up but not when raising awareness of homeless children  am i reading you correctly  |  SAD
fact its not a bilateral  |  ANG
buddhist aint gon na put up with it any more  must of finally had enough of islamic bs  |  SAD
took a play out of obamas playbook  |  ANG
no tweets and yes he is that oblivious 😡😡 |  SAD
myanmar says they are all delusional and just plain wrong in what they say  that military needs to be charged with crimes against humanity and bounties put on their heads  change will occur |  SAD
do nt look yu missed many meals  jus sayin   |  SAD
wrong  he has already promised aid to california  |  SAD
duh  it’s nothing but an old fat white boy club  |  ANG
you’re bat crap crazy dude and just ridiculously stupid  go crawl back under a rock from whence you came   |  SAD
where is trump         |  SAD
so  its not our problem  this country needs to worry about this country  and not anyone else  global warming will kill these people anyway  |  SAD
there s a report in the washington post that says legalized marijuana has helpedsome of the posts here seem blatantly phony  |  SAD
i take great great comfort in knowing these corrupt sob s will burn in hell for eternity  burn koch suckers burn         |  ANG
karen joy roth it does because it is  |  SAD
praise god they are well and free now  thank you president trump for great leadership  |  SAD
alisa arthur pbs constantly uses children to form its followers emotions  very manipulative and harmful  |  SAD
how republican of youall who are cheering that people are suffering great losses  if that s compassionate conservatism at it s very best  you wonder what would be the worst   |  SAD
seems like a poor idea to take your pregnant wife to afghanistan  something doesn’t feel right about this |  SAD
pussy grabber |  ANG
i m sorry  but hearsay is thirdperson accounts  this is a firsthand account  so you can take your dismissal and shove it  i ll put pbs s journalistic credibility way beyond your nonexistent credibility any day of the week  |  SAD
sleaze |  ANG
this is exactly why medical professionals have termed it as a “disease”  one that you vera should thank god you don’t have  it’s a difference in brain chemistrycomponents that contribute to a person developing the symptoms of addiction  which is often passed down hereditarily  like many other diseases   where you wereare able to stop  another person isn’t and they are not necessarily to blame for that  it’s taken quite some time and a considerable amount of research and data for doctors  scientists to arrive at this conclusion  since they have there has been remarkable progress in the treatment of addicts with great turn arounds  however  the issue remains due to the fact that the individual themselves have to arrive at the conclusion that they indeed have a problem and need to receive help for it  the current crisis our country is facing is reliant on this factor  people will try and argue it and say it isn’t a disease til they’re blue in the face  you’ll find these individuals have also not received any further education past high school  not to say they are dumb but they just don’t know any better and due to that they remain stagnant in their knowledge and cling to biases  personally  i’d never argue with a mechanic about what’s wrong with a car unless i were maybe a mechanic myself but not everyone is sensibly rational in that manner  which is tough to even witness  i’ve heardread individuals who are bartenders  in car sales  a roofer  and landscapers try to discredit the findings of reputable doctorsscientists  men and women with phd’s in their field who have not only the knowledge but also experience   to me  that is the most absurd and ridiculous thing to have ever witnessed but there’s no convincing them otherwise  it’s stubborn ignorance in its highest form and i just wish people would allow themselves the opportunity of learning more about that which they hold such strong opinions of  |  SAD
 outside influences   the koch brothers  |  ANG
rental |  SAD
mohammad hasan we shouldnt be in syria or libya either |  SAD
bryan |  ANG
i pray that trump s grand children die of bone marrow cancer |  ANG
pers  biz income should be taxed once regardless of tax authority  hard to accmplish with multiple gvt levels needing funds  pers income taxfree states get there but their expenses are met with prop  sales  etc taxes  most states tax biz income but pers stockholders shouldn’t pay tax on dividends as biz pays a tax b4 distributing  maybe dividends like interest exp should be deductible instead  death  estate  taxes are worst example of double taxing  all peoples’ property is bought with previously taxed income  in a previous admin  maybe clinton   eliminating deductions for 2nd homesyachts was attempted but failed politically  i favor the non deduct of 2nd home intprop tax  |  ANG
liberal scumbags unite  |  ANG
birds of a feather        |  ANG
trump is going to kill a lot of americans  out of spite  |  ANG
canada accepts all migrants   |  SAD
but trump is nixing all climate initiatives |  SAD
 mfacebookcomstoryphp  storyfbid10155841699504540  id1629925673968109 |  ANG
this is a no vote   trump never was going to make america great  he used americans to make himself profit and the gop let every step of the way  vote them all out   |  ANG
you all do realize most of the opiates being used are home grown pharmaceuticals given out by prescription and sold to addicts right  |  SAD
trump is doing a pretty good job of working himself out of a job  |  ANG
great  really looking forward to that☹️ |  ANG
i doubt anyone invites you to their bedroom the way you talk  oh  by the way  i know you re a troll  |  ANG
what is wrong with men like him    |  ANG
as a multigenerational californian with family going back to the 1800 s  i favor a split up of california  let jefferson be jefferson  split off the bay area  let it be its own utopia  and leave the rest of the state  politically and culturally  this would be better than to have 40 million people ruled over by a small coastal elite who are largely outoftouch with everyone not living on the same street as them  |  SAD
fyi  most opioids are made in china that s importeddistributed to us pharmaceutical companies then marketed to medical physicians who get residuals for prescribing to patients  |  SAD
obamacare enabled the crisis  patients who complain of pain are guaranteed access to pain killers thanks to obamacare  so what if the big bad pharma lobbied to clip the dea’s wings  the entire healthcare industry got what they wanted from obama and dem congress  coming home to roost now  |  SAD
how about this grant do nt send  1 to california and we do nt send  1 to washington  guess who needs the money more  that is correct trump because out of every  1 california sends they get back 78 cents  the second least amount of federal money of all 50 states  now your state can subsidize mississippi and every poor southern state  is that a deal  |  SAD
damon this man  |  ANG
|  ANG
best explanation i ve seen so far  |  ANG
and if you joined a wellregulated militia  i would fully support the federal government paying for your arms  though i suspect your definition of wellregulated  would not match mine  the national guard is welcome to my taxes  as to paying for someone else s healthcare  you already do  regardless of type of injury or illness  as long as it is a forprofit business  it is going to have to be paid for  and basic economic truths tell us the majority of that is going to rest on the middle class  at least in terms of percentage of income  which limits their spending power  which in turn degrades our country s economic health  i understand the urge for a strict interpretation of the constitution  but i fear that does a disservice to the constitution itself  the country it is intended to guide and to humanity in general  and i know you understand the need for the evolution of our governing documents  or you d have more to say about the 35s compromise and every amendment added after initial ratification  as an aside  you imply here that you d be fine paying for other people s healthcare as long as they allowed you  or someone else  to legislate their diet and exercise regimen  that does nt seem very libertarian of you  |  ANG
unless they kill it  |  ANG
fu chump  |  ANG
no |  ANG
what the hell is wrong with you  |  SAD
dedicated    drumpf     no f’ing way |  ANG
it s a movie  did ya read article or just jump to an assumption  |  SAD
complete moronso scary |  ANG
itmfa |  ANG
ya think  he goes to work in the morning after he s had coffee with all the oil company execs who tell him what to do that day  he has had it in for the epa ever since his congressional days  these business guys do nt care how badly they use resources as long as they have free access to them  the fewer regulations the better  is their motto  pruitt will get his comeuppance at some point  but we will have to put the epa back together  |  ANG
no american boots on the ground  get the nambian army to do it  |  SAD
there s something fishy about this whole story |  SAD
pathetic      |  ANG
i pray that trump s grandchildren die of bone marrow cancer |  ANG
oink  oink  oink  |  ANG
wow feel sad for you and i am ultra conservative  |  SAD
has nt my state suffered enough  |  SAD
so much useless hate against groups in this world |  SAD
002  that s the number of people who abuse opioid prescriptions  002   more people are killed in a day from tylenol overdoses   getagrip |  SAD
this situation seems highly suspicious  canada needs to investigate carefully  |  SAD
can we stop this crap  |  ANG
one has nothing to do with the other  grow up  |  SAD
more trickledown   |  ANG
dawn campbell and people who live in incredibly high taxed states  with horribly common natural disasters  only to take care of illegals  are morons  please learn some common sense   |  SAD
trump is correct |  ANG
what a total uncaring jerk that should not be in office  |  ANG
so horrible and sad  is this what 45 meant with his threat of  fire  fury   has anyone actually determined yet the cause of these multiple fires  |  SAD
super liberal      |  ANG
eliot w collins some of the poor will actually see a tax increase from 10  to 12  how fair is that  |  ANG
he is an evil scum bag  |  ANG
 separationofchurchandstate business operates in the public sector  there s no right to impose beliefs or morals on others such as the general public or on employees  |  ANG
45  cumulative of many fires  |  SAD
go trump  all they are is sitting ducks  pluck off the ones that do nt fit straight  |  ANG
in roman empire saint paul never spoke about abortion or try to stop it  |  ANG
amen to that  |  SAD
they need to be retired and moth balled forever  |  ANG
who is raping whom  |  SAD
evil evil evil |  ANG
there is a  single treatment   just say no   liberals are fools   |  SAD
i live here  it s terrible  |  SAD
    |  ANG
 trumpzadoosh🎺💩✴😜 |  ANG
prices are going up up  up      |  ANG
cheryl malone god is love  why would god destroy his creation  we are our own best enemy  we refuse to realize and accept that climate change is happening  we build in known flood plains  we refuse to accept  green  and solar energy sources  we farm using too many harmful pesticides  the list goes on and on  |  SAD
i ve never heard of anything like this  it s horrifying  |  SAD
here s another moron |  ANG
when it s men using birth control  it s not even be an issue  |  ANG
he’s not a fan of puerto rico   |  ANG
how is pbs using children to manipulate  please explain that statement further  |  SAD
horrific     |  ANG
it looks like one race trying to kill off the other  history repeats itself over and over  |  SAD
well that was awkward  caught her lying grant great job  |  SAD
corporations control congress  nothing new  |  ANG
medical marijuana |  SAD
un do its job |  SAD
what then sean is your reasoning for the hurricanes in tx and la and fl    |  SAD
go to hell |  ANG
how low can you go |  ANG
i’m telling y’all  mother nature is pissed at all of us  |  SAD
not anymore for the leaders are not respecting the motherland  they must take allegiance to the motherland so the nation continue its blessings  |  SAD
kqed was reporting a newspaper story on the fire’s cause and on calls to police  it’s called responsible journalism  |  SAD
john kelly  white house chief of staff |  ANG
elizabeth harrington  thank you  i know most good people do  specially those who know someone from the island  even those who do nt  empathy is something most people have  but sadly some do nt  |  SAD
hasn’t hollywood always had this stuff going on  |  ANG
it is no more representative of islam than dylann roof is representative of christians  |  SAD
jerry green typical comment when out of arguments |  SAD
frank murphy very selective history there  |  SAD
🤑🤑🤑🤑🤑🤑😡 |  ANG
another corrupt pa politician  |  ANG
pure evil  |  ANG
look at those happy people  |  ANG
stauffer |  SAD
judy van leuven you stole my thunder 😂😂😂😂 |  SAD
did trump even go out there    |  SAD
impeach |  ANG
good bye usa |  ANG
america is out of the picture  which is really appalling  no one to speak up  |  SAD
yeah  we think he s a real jerk also  |  SAD
this man will find us a war  |  ANG
it was more the understudy that fueled the fires in the neighborhoods  i was shocked how few trees were in the before pictures  |  SAD
and texas deserved hurricanes   he maketh his sun to rise on the evil and the good  and sendeth rain on the just and the unjust  matthew 545 |  SAD
😴 |  ANG
exstreamley sad |  SAD
moron liberals always have something stupid to comment  |  ANG
nothing good  |  ANG
where does anyone see california in 2 years  |  SAD
dickwad |  ANG
paula  diane  carol  suzel  and familes  praying you are safe  |  SAD
mental health is a huge part of the issue to prevent the usage in the first place  the gop does not want to deal with either  |  SAD
maybe this can be blocked as a monopoly  |  ANG
raven capps crowl has it right  said much better than i did  sam jafarian  go live in egypt  or rather liberal morocco  or spend time in iraq  or saudi or even bahrain and the uae and get back to me  |  SAD
😡😡😡 |  ANG
weed is the bigger problem  my neighbor s cousin s soninlaw went insane after injecting just one marijuanas  |  SAD
ruth  that’s a grim thought  let’s hope there is no one who has to live on with this awful tragedy on his conscience  |  SAD
this is truly terrifying  |  SAD
60 minutes aired this powerful eye opening segment sunday evening  exdea agent  opioid crisis fueled by drug industry and congress   video   exdea agent  opioid crisis fueled by drug industry and congress   text   dea responds to explosive  60 minutes  report about opioid crisis   the drug enforcement administration’s attempts to curb the opioid epidemic as deaths increased were thwarted by powerful forces in washington  according to a joint report by “60 minutes” and the washington post   meet the dea whistleblower   drug distributors fall ahead of ‘60 minutes’ report on opioid crisis   cmpidyhooheadline  yptryahoo   share   |  ANG
 |  ANG
it s ok  they ll just make sure the kiddos get that amazing abstinence education   yes  sarcasm  |  ANG
you hired him to take health insurance away from low income people  huh  interesting |  ANG
we  fl  have dummies that toss cigarette butts out  good luck out there  |  SAD
trump hates muslims  where have you been living  under a rock  |  SAD
 i know it s still under investigation  and we may never know   this may be totally offthewall  but i heard somewhere that there was a group of people who released hundreds of paper lanterns with candles inside somewhere in the mojave desert as a memorial for the lives lost in the vegas shooting  wonder if any of those got caught in the wind  carried for miles  no proof  just saying   |  SAD
full of crap |  ANG
the administration are cruel tyrants and we are hoping karma will be swift in correcting this  |  ANG
and here s the elbow  i guess some people are in more pain that i was  notice the staples         |  SAD
help puerto rico you stupid fool           help california you stupid fool      derelictionofduty fat  lazy  lying traitor  child rapist  serial sexual predator  tax evader  cheater  conman  father of lies  adulter   stfu and resign  you incompetent fool     get this crackhead out of our white house     doyourjobrepublicancongress |  ANG
moron  |  SAD
soma |  ANG
not much anyone can do until folks stop killing each other  |  SAD
where is aung san suu kyi about this matter  |  SAD
monica crist no one had to manipulate a story on pr to get people to hate trump  |  SAD
reap what you sow 😞 |  ANG
they should rot in hell |  ANG
terrifying |  ANG
 the casting couch  |  ANG
but hillary but but hillary hillary but hilary hilary hilary hilary hilary hilary hilary hilary hilary hilary but hillary hilary hilary hilary hilary hilary hilary hilary bill bill hillary hillary |  ANG
45the destroyer in chief  |  ANG
lmao |  SAD
white democrat privileged wealthy  too bad the whole state of california did nt burn up     |  SAD
really  people died  that fire moved in so fast and did nt give a crap about anyone s politics  race  immigration status  income  or religion  it just consumed  be a decent human being  what did my town and county and state do to you  other than create a thriving economy that is taxable by the federal government  |  SAD
thoughts are a power line and transformer fell in the 75mph wind gusts causing sparks and flames  in one area at least  |  SAD
disgusting just simply disgusting |  ANG
trump is dumping  clean  coal on california  maga  |  SAD
he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
your tax plan is crap |  ANG
prayers to the people of california impacted by these terrible wild fires  i am in awe of these firefighters who are working tirerously  they are true hereos  |  SAD
our opinions could be influenced by russia and sinclair  |  ANG
sharon gancarzdavies homeless means on the street  |  SAD
indict them under the rico act for taking kickbackbribe money along with conspiracy to commit unlawful acts treason for freaking up our country  |  ANG
it’ll never reach my household  ever   |  ANG
not wanting to be rude but you really do need to pay more attention to want is going on in the world   |  SAD
i abhor  hate  and despise you  trump  you are dumber than a bag of nails  |  ANG
74 million children  junk bonds  |  ANG
if there is anything more soulless than a republican  i ca nt imagine it  |  ANG
we are losing an entire generation  we need across the board changes in how we address this problem  |  SAD
seize the trump families rubles  |  ANG
spin  spin  spin  |  ANG
john arcieri sources  ca gets plenty of federal dollars other than disaster money  |  SAD
i am an okie  as an okie  i apologize for this oil company fluffer  |  ANG
i will never watch or listen to him |  ANG
mueller    |  ANG
where are they going  not usa  |  SAD
the 2007 witch fire in san diego county was started by sdge not mantaining brush  now they are trying to raise rates to pay for all their lawsuits  nothing to see here  |  SAD
this is so wrong  |  ANG
your comment reminds me of trump s statement of good guys being on both sides after charlottesville  just in reverse  |  SAD
still sporting that beard  |  SAD
i was worried about ya ll  glad they are not close  i ve seen pictures and they are horrible  |  SAD
well  it s not over yet  maybe it will meet your  real disaster  threshold at some point  whatever that threshold may be  geez  |  SAD
dead babies  children  sick people  |  ANG
awesome allah most be so proud of his retarded followers good job  i m laughing 2unny |  SAD
 youtubefbnaohxetc |  ANG
most people who take these drugs do nt become addicted  that s why the drugs are still legal  if 2 to 5 percent of the population has a physiological difference that increases their tendency to become addicted  that s a lot of people in a population as large as ours is  it s a really big problem for everyone  |  SAD
ron martin the elite will never let that happen |  SAD
i think that is what nm has been doing  working on the psychological side of the situation  unfortunately  the law part of the equation rounds up people via the drugs or addiction outcomes  yep  the waging war on drugs seemed like a logical thing to do at the time  but it based its strength on people being able to handle themselves  trauma changes that equation  |  SAD
fake president  sad  |  ANG
it was a republican congress that clipped the deas wings  but hey  facts  am i right    |  SAD
 |  ANG
time to move to kansas  |  SAD
wait and see  the middle class and poor will get the short end of this too  |  ANG
kristina black tara amano      but  so many  |  SAD
we are losing this war  i’m so afraid my son will be one of the statistics  |  SAD
 frontiermyanmarnetenannansaysrefugeesinbangladeshmustreturntomyanmar |  SAD
private enterprise  |  SAD
i dont even have to read it  based on the history of this administration  it stinks and is no use to regular americans  |  ANG
  sticker   |  ANG
that s right james a clark  she probably just went out for a walk and accidentally ended up in bangladesh  |  SAD
trump is hate filled  he will kill people  next  war  |  ANG
 krugmanblogsnytimescom20171014lieslieslieslieslieslieslieslieslieslies  r0 |  ANG
check out 60 minutes from last night if you want to see the real problem  lobbyists  |  SAD
i suggest reading william  it s a fact  everything i stated  |  SAD
stfu paul ryan  you have lost any vestige of integrity as a republican supporting that jerk in the white house  |  ANG
oh no     😢 i hope they can save some of it 😔 |  SAD
that s weinstein country  home of the sex offender  |  SAD
he s a lying idiot  not my president   |  ANG
he s such a pig    |  ANG
f u |  SAD
since america invaded afghanistan the opium trade has exploded with it being said 1 trillion dollars has been made so far with 92  of the opiate products reaching the streets of america nobody that started this wants us to end it  |  SAD
it ll be like living in russia or north korea  |  ANG
of course  |  ANG
best excuse to push for that medicare optionuniversal healthcare |  ANG
he is such a sore loser |  ANG
|  ANG
lock them up congress and the licensed drug pushers 😠😠😠😠😠😠😠😠😠 |  ANG
stop abortion  abortion can be stopped with forethought before foreplay  |  ANG
   |  SAD
look it s a trained seal 😂😂😂 |  SAD
many arakan  rakhine  homes were destroyed by bengali  socalled rohingya  terrorists and extremist bengali  socalled rohingya  villagers  there might have some bengali homes that were destroyed by fire due to the arsabengali terrorists and burmese army battles  but there are many homes that were set on fire by bengali themselves and arsa bengali terrorists  it is because they want to get the humanitarian support from international communities such as un  oic  etc  and they want to give the bad image to rakhine  arakanese  and myanmar government  and want to get sympathy and support from international communities especially from islamic countries  remark   the socalled rohingya is bengali  |  SAD
sue |  ANG
the following video is real eye witness video of a second shooter on the ground in the concert venue  proof that the guy who made the video above is by law a terrorist   youtube4kzm8xtxw also an actual news report from victim claiming he was shot by a shooter on the ground in the concert venue   thenewyorknewsdaycom20171006lasvegasshootingvictimiwasshotbyagunmaninthecrowdreadmoreat also an eye witness claims to tv news that there was  definitely someone on the ground  shooting   youtubeb2igzssgyo |  ANG
as someone who was hr for a legit company that did seasonal hiring  we did do group interviews for the first round  we wanted to see how the applicants worked as a team  what their social skills were like  and the final interview was a one on one  so do nt freak out if a first interview is in a group setting  |  SAD
crying shame  |  SAD
it s getting hot in here   |  SAD
😢🙏🏻👩🏻‍🚒🙏🏻🌧 |  SAD
donnie dotard is an idiot    |  ANG
creep |  ANG
nothing new from john today  i’m sure he’s busy and would let someone know if there was a significant change  |  SAD
can you  secure  trump s behavior  forget the border and stop the nutcase in the wh  |  ANG
blithering idiot  |  ANG
islam is undergoing a nascent reformation  but far too slow and at too many innocents lost  |  SAD
shocker  |  ANG
i do nt understand why the united nations has not acted on this ethnic cleansing  |  SAD
no |  SAD
because we have the access to bombs at our local wal mart |  SAD
ya know what stops the need for abortion  birth control  |  ANG
filthy grub still being protected by leftist lunatic media organization and snowflakes friends       |  ANG
not our problem |  SAD
happy holidays trump  |  ANG
liar      |  ANG
predators protecting predators |  ANG
all of you no it all s are wrong  the most potent opioid come from china and in the us via mexicothats reported by pbsof course that may not be the truth  |  SAD
serious |  ANG
yup i ve got cnn too  thanks 👍 |  SAD
the  casting couch  goes back to the silent era  see mary pickford  |  ANG
seriously jim    seriously    you think we are stupid enough to belive that load of bs you are attempting to sell    we know what s going on  pruitt is just a waterboy for coal and oil interests as in the koch network  putting him in charge of the epa is like putting the fox in charge of the hen house  he is just a greedy fool who only cares about the self serving agenda of the fossil fuel industry  |  ANG
what a stupid comment  |  SAD
1789 |  ANG
isn’t that the catholic church  🤷🏻‍♀️ |  ANG
this plan will actually help the lower income earners because it doubles their standard deductions  democrats would rather poor people have less in their pockets if it meant the rich paid more out of theirs  |  ANG
anne sheldon  your response is very measured and important  thank you  |  SAD
cal fire is only now investigating and it will take weeks to find the truth  i find it very irresponsible of any news organization to put out this speculation  kqed shame  |  SAD
most of it could have been prevented with stricter building codes and brush removal with goats in the spring and summer  also removal of dead trees  but they all wanted someone else to pay for it  |  SAD
somethings not right |  SAD
how can he  aca is the law  is nt it  |  ANG
it s ok  i sent an email to his company to let them know what type of employee they have       |  SAD
moron in chief |  ANG
quit feeding them |  SAD
enabled  big pharma chose those drugs to administer  dumb |  SAD
jennifer knox climate change is what the earth does naturally  global warming is warming with man s help  that is the way it makes sense goober  |  SAD
 yur  president   nevermypresident |  SAD
this is just the conversation i was having with my canadian friends from vancouver  and mercy  canadians must be soulless too  cause vancouver has a terrible  terrible drug problem for years   fentanyl is the wildcard on this drug crisis  i will watch this  |  SAD
birth control lessens needs for abortion  |  ANG
marino drug czar    |  ANG
kenneth mccahan you truly are a jerk  |  SAD
this story seems lacking  |  SAD
sounds hopeful |  SAD
geez to you too   |  SAD
they said on tv that they were fighting the fires and had nt had time to locate the problem that started the fires  |  SAD
it is not an opioid problem  it is a greed problem  the greed of drug companies  the greed of drug distributors  and the greed of congress who undermine drug laws and prosecutions  |  SAD
pay no attention to the man behind the curtain  |  ANG
they are amazing dealing with this horrible fire  i hope they will able to put it out soon  |  SAD
he’s jealous of and humiliated by obama this is trumps retaliation  |  ANG
and  don’t confuse sonoma with sonoma county either  saw one national publication that identified sonoma as being on napa county  happens when someone writes a piece offsite by getting info from |  SAD
very stupid man |  SAD
that said  a lot of fires started sunday evening  which just seems off  |  SAD
it s heroin and fentonal  report it right |  SAD
why does all this inbreeding not surprise me  this is almost like uncle daddy type stuff  i m sure these high level execs who signed off on polanski might just be some of the same vultures cory feldman was talking about  |  ANG
oh dear now he’s sedated  his handlers needed to calm down the proud pussygrabber  |  ANG
muslim in other areas do the same to others  it s aĺ a shame but has been going on in these countries for century s  |  SAD
hey  as a proud native of santa rosa  ca  i would like to say that i would love to get ca out of the usa  you can have your ultra moralistic whatever  and we can have our progressivism  |  SAD
not buying any of this  |  SAD
todd ganek are you blind or deaf  the country is burning  flooded  and hammered by every force of nature in the last couple of months  have you watched any news  listened to any radio  read any papers lately  have someone read them to you and then get back to us  |  SAD
another lie |  ANG
call em drug dealers |  ANG
islamic ideology is responsible  sharia law is responsibletaqiyya is responsible  |  SAD
are they okay  |  SAD
thoughts and sympathies  so where is the leadership during this tragedy  |  SAD
sounds like collusion to me  |  ANG
well said mary   |  SAD
why blame him  it s the idiots that voted for him  |  ANG
voodoo economics  |  ANG
grant colley  home visit  could be to a shelter or to the couch of friends where someone is crashing  if you were interested you could have learned that not all homeless people are on the street  |  SAD
better  cheaper  and great  |  ANG
politics has no place in this  |  SAD
lol from his profile   love is the only answer   roflmao |  SAD
update  fires caused by trash blowing in from new jersey |  SAD
corruption at its worst |  ANG
  sticker   |  ANG
there was a terrible windstorm sunday night  very high winds  spreading burning embers  so sad that people spread hateful posts  when so many are losing their homes   some their lives  |  SAD
oh hell we have 33 million us citizens that our administration wants nothing to do with  i ca nt imagine they ll do anything about anyone elses  😈 |  SAD
1 timothy 212 is for you  psalms 137  9s for the rohingyas also 1 samuel 153 you are on the side of evil  |  SAD
 lfacebookcomlphp   3a  2f   2farticle  2f432172  2ftrumpreportedlythrewfitadvisedcertifyiranscompliancenucleardeal  hatpowhgipxtmiiojnkxhhq4fb0jqy4hij7y3wdk0kbepqbahb2kzfbj0lvb912urnkeqcmgui6fsatoxidte4jyt20ojulcm51ygy1nt2gfkqtvuqjjenrfa8prvzizmrzwf5w8izfniflie3whkgfcdgpyhe68z4ihlprcyvz0rt7xa3vi2ul0fcdpxwpwulgznprpdkvtopd2heqqb0antw5avdqc4bdfgyrnkhefbmlcegxwanyks2whg4cvsyrvckawv6bgyhi1pxstnlgk6wrxj3yywvxtbw |  ANG
how do they feel about viagra  these old dudes are not using it to procreate so no coverage for them  hypocrites  |  ANG
there were 34 fires how the hell could that all be one thing  |  SAD
insurance  it s truly a strange concept  we buy life insurance  car insurance  home owners insurance and health insurance  the principle is the same for all  you pay into a system so that you are assured that if you get into a car accident  or your child breaks a neighbor s window  or someone slips on your front steps  or you need an appendectomy  the bills can be paid  you may not need many of this things  but knowing that you can cover those expenses of you do takes away some of the worry  we do nt say  well  i do nt have front steps so i do nt need that part  or  i do nt drive so our premium should be half of what you pay cause both you and your spouse drive  or  i am a single woman so my insurance should nt cover prostate exams  when did we lose it in all this  |  ANG
will there be medical experts on the benefits of cannabis  someone investigating the pharmaceutical ties to politicians who allowed this synthetic opiod on the market in the first place  |  SAD
thank you pbs  watching you now from ohio |  SAD
all my money back  yaboo soooeee  |  ANG
feeling more like the hunger games everyday here in the us  |  ANG
he gets all his briefings from fox  |  ANG
more innocent muslims have died at the hands of these fanatical factions than anyone else  i d really like to know where in the koran it says anything about killing muslims in the name of allah  |  SAD
30 or so souls lost  thousands of families suffering  thousands of folks on the fire line  and  you all worried about trump  so sad for you  |  SAD
then had the gall to cite stupidity for what they  allegedly  did to him  👀 |  SAD
he is so evil  |  ANG
bert c gonzalez oh  very smart men are working on the russian collusion  you know  the stuff you traitors are all okay with  trust me  he wo nt make four years  we are nt worried  d |  ANG
remember acid rain and all that it killed  |  ANG
disgusting subhuman  |  ANG
act of the federal inspired conspiracy to disturb the people right and driving them out of their territory  wake up world  make allegiance to the motherland and get your constitutional rights of governance  may god bless you and enlighten your leaders  |  SAD
not hatred lynn d hall  common sense and sensibility  |  ANG
he is the enemy of the american people  |  ANG
jennifer knox you can bet i have tons more education than you  |  SAD
welcome to liberal hollywood and the liberal media  |  ANG
facebook is filtering  i wonder why  |  SAD
it does nt take a brain surgeon to know what happens when you put the fox in charge of the hen house  |  ANG
cut taxes  increase defense spending  deficit  who cares  iokiyar |  ANG
|  ANG
if we  as a nation  were doing corrections right  the first objective of any jail or prison should be rehabilitation of the inmates and reducing the rate of recidivism  some people ca nt be rehabilitated but the current system pushes those who can and should be down a lifelong path of crime rather than reform  |  SAD
his tax scam  you mean |  ANG
because of you  idiot |  ANG
punishment from god long over due and the worst is yet to come  the state of california is one of the most evil in the nation  with its selfrighteous hypocritical people  its crime and corruption  its racist suburbia  its rampant abortion culture  its sexual perversions  its sanctimonious silicone valley with their traitorous nature  its fornications and adulteries  its police brutality  its government extortion  its hollywood culture  its lawless immigrant culture  etc  etc  etc  the state has many many flaws  and they are unrepentant  and they are being punished  |  SAD
frightening and dangerous  |  ANG
another well thought out plan  🤡 |  ANG
 |  SAD
let s sic erin brockovitch on pg  e again  she got them once  let her do it again  |  SAD
i believe that the effective tax rate  for the trumptards that means  real  rate  paid by big business is around 14   when trump surreptitiously released his 2005 return  the only reason he paid a measly 20  rate was the alternative minimum tax  otherwise his tax rate would have been only 6  when he claims that the new tax plan  which eliminates the amt wo nt help him personally  it s just another one of his many bold faced lies  |  ANG
does anybody know if trumpcare covers being sick of winning       |  ANG
1789 |  ANG
the only solution is for trump to start another war  i m surprised he has nt threatened myanmar with annihilation yet  |  SAD
i speculated the notion  but i amounted it to my job in highend restaurant business and hatred for their vendors  |  SAD
jasmin   😟 |  SAD
my sister lived by coffe park  her house is gone but she is safe  i love and miss you sis  |  SAD
he is the enemy of the american people  |  ANG
kara jane janssen do any of these take into account the cost of illegal immigrants  really  what difference does it make if ca does not respect federal law  ca is not a good citizen  |  SAD
his is subhuman  |  ANG
you get to die but you wo nt have to pay estate tax  |  ANG
grand theft is not a tax plan  |  ANG
we all know trump lied  |  ANG
why do nt they move to canada  |  SAD
shameful |  ANG
  cidsmnpdmsfbma      |  ANG
stop muslims from invading peaceful country s  |  SAD
and raise rates to pay off their lawsuits  disgusting  |  SAD
anti abortion  pro run down the protesters  hypocrites  |  ANG
the religion of peace strikes again  |  SAD
there are some shenanigans going on with this family s story  i smell a rat  |  SAD
ya  think  |  ANG
not even  propregnancy   these cheap insurance policies 45 is promoting will probably not provide maternity benefits  and then if chip does not get funded more women will be left with no care  |  ANG
its ethnic cleansing not genocide  burma is perfectly happy to let them live just not there |  SAD
no its not ok  |  ANG
do nt be silly  the death toll is expected to rise  it changes as more bodies are found  that s like saying it is fake news because they report different ages for a person on different years  surely you have more sense than you seem to be exhibiting  |  SAD
 wncworgposttrumpthreatenedkillirannucleardealdealwinsnow |  ANG
ethic cleansing is a one sided and simple solution |  SAD
he wants to be richer |  ANG
dotardus corrumpt  |  ANG
fox news  your current president  |  ANG
sad all because people think their take on god is the only right one  |  SAD
truly  muslims have been persecuting nonmuslims for 1400 years with either violence  harassment or taxation for nonconversions  looks like the chickens have come home to roost  |  SAD
grant colley an agenda is an agenda  the only difference is if you choose a side to promote rather than taking every social issue seriously  i m happy that you can be unaware of issues that plague other segments of society  not sure why you would complain about strangers caring about others but that could be a whole other thread  |  SAD
