he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
  3famp1 |  ANG
i follow him on instagram lol |  LOV
medical community is only partially responsible  over the last 8 years under obama  a drug problem became a drug epidemic  open borders allowed drugs to flow freely into this country and the cartels established their billion dollar business in the u s no attempt was made by obama’s drug czar to establish anti drug education  our schools are the cartels future market  what are we doing about it  |  SAD
todd ganek great report from nasa  national aeronautics and space administration that shows climate change is real   climatenasagovevidence |  SAD
the 2003 california wildfires were a series of wildfires that were active in the state of california during the year 2003 in total  there were 9116 fires  1  that burned 974169 square kilometres  376129 sq mi  of land  23 deaths  |  SAD
take your meds  trump  |  ANG
that place has been a he ll hole for decades |  SAD
writing should make people think  i applaud his ability to do just that  |  LOV
estate tax repeal will only benefit trump  friends      |  ANG
sexual predators all waiting for there next victim bill harvey ben and matt      |  ANG
beth beeby |  LOV
this piece was a disappointment  i expect experts  not activists  on your show  |  ANG
get out trump  we do nt want you  |  ANG
truly thankful that obama paved the way for trump being our president today    |  ANG
good explanation  |  ANG
true but it was still funny 😄 |  WOW
kitsch  |  LOV
bethany kuenne and jonathan kuenne   |  LOV
i remember under pataki he let long island burn for a month  nature is tough sometimes  some brace men and women  |  SAD
the pruitt s of this world are really few and far between  science and technology are propelling the economy past them at a rapid pace  clean energy will soon be cheaper than the dirty minded conservative government is capable of perceiving  the gop is locked into a reptilian brain like peering into the bedrooms of citizens and preaching fire and brimstone make believe  rational human thought is now the exclusive purview of liberals  |  ANG
do it |  LOV
also  a person does nt have to be an addict to use an opioid recreationally  many nonaddicts will still make use of a drug like this occasionally  that creates a higher demand on the streets and higher theft and abuse of such drugs  it increases the chance a person with a hereditary tendency to develop an addiction will end up trying the drug  |  SAD
we sent help to puerto rico  and it sat in the ports because local truck drivers would nt haul it for less than 5000hr  so they decided to protest instead of helping to deliver supplies to the local population  and we ve sent help to get their power up and running but that takes time it s not an overnight fix  |  ANG
just horrible |  SAD
🐷🐷🐷 |  ANG
frightening   |  SAD
brian renfrew is a victim of himself  too pathetic to make an effort to be more than a drain on the rest of society  sobbing about how everyone who puts forth effort has made him a victim  typical trumprube  the type trump spits on if they get too close  |  LOV
they say  only  45  i m thrilled to see that number progress  |  SAD
when is the state responsible for the power companies transformers  |  SAD
gtfo |  ANG
he gets all his briefings from fox  |  ANG
in addition to smelling fire  i smell lawsuits  this is like holding mandalay bay responsible for the las vegas shooter  fire is a fact of california  fire prevention is important  but not always possible  |  SAD
so sad  our heart s ache for them  |  SAD
  vlunhybokiju |  LOV
paul hill  any more word from john  |  SAD
not much anyone can do until folks stop killing each other  |  SAD
huh  i was commenting on the fact that radical muslims  really not muslim  all  use the propaganda that infidels  anyone who is not muslim  kill  oppress muslims  when in fact radical islamist oppress  kill more  innocent non radical  muslims than any infidel ever has  im not sure how your post is relevant to my statement  |  SAD
why is this surprising  |  ANG
 sitting here waiting for the somalian flag filter from facebook   |  SAD
making america great again  sen |  ANG
it is good to know we have a few humans in politics😊 |  LOV
it’s not trumps fault  it’s muller not getting his act together |  ANG
there s more to this story than grape juice |  SAD
not a dictatorship you moron  |  ANG
|  ANG
how terrifying for those in and near the area  |  SAD
because of you  idiot |  ANG
bull |  ANG
love to all the fire fighters  first responders and those families who have lost loved ones  be strong  |  SAD
😡 |  ANG
armchair ayatollahs  american taliban  |  ANG
it an internal matter for burma to sort out the us does not need to be involved |  SAD
glad you left california  we do nt need you  |  SAD
how will these wonderful men and women be thanked for their endless hours of fighting these fires  be safe our heroes  |  SAD
he is chief of staff |  ANG
smart |  ANG
if a russian nationalist was able to get elected to the oval office  i doubt he could do as much damage to our system as trump hasthey have they same agenda  alienate us from our allies in the eu and nato  reduce our credibility  cause chaos in congress  divide the left from the right  damage our trade with other countries and keep us busy with bs wars in the middle eastall without firing a single shotthey do nt even have to spy anymore because trump tweets every single thought  even bannons nationalist propaganda is better than sputnik  |  HAH
they need to be retired and moth balled forever  |  ANG
doomed  as this country is becoming  |  ANG
i have tinnitus and hear crickets incessantly  now this would do it   myoutubecomwatch  vlnko80b0rnw |  WOW
prayers and caring for all |  SAD
another one predator      |  ANG
congress members are the largest group of big pharma stock holders they do nt care  they are laughing all the way to the bank  stop prescribing  no scripts no meds no profit  peace |  SAD
the gop found their new guy       |  ANG
good  the country needs her in the senate  |  LOV
ted miller yes but this benefit trump and his heirs tremendously  supply side economics has never worked  |  ANG
newfound admiration  |  LOV
beautiful interview  wonderful man❣️ |  LOV
clean is not suited for them   |  ANG
in some states  you are legally considered homeless if your house has a cracked window   although you probably already know that   frankly  this movie was written and produced by people who s affiliation with pbs is the interview in the video and maybe some arts grant or something  as far as i can tell pbs just serves as the messenger here  but my question is  what specifically do you consider pbs s political ideology to be  and this me guessing at your opinion on that ideology  but why do you think pbs s ideology is harmful  |  SAD
let them eat each other |  HAH
who does nt ❤️ weimaraners  |  LOV
have taken opioids since 2010 not daily but when i needed them  i have had a hip replacement and knee surgery  never once did i get high or steal to buy them from street dealers  when i want to be absolutely pain free for shopping or vacation  i will take them  i like to be mobile  i cant under stand how you get addicted  i have tried the hemp oil and think it works better |  SAD
😳 |  ANG
cmr is so yesterday |  ANG
when was the last time that you preached to men on facebook to abstain from sex or to use condoms every time  no  when was the last time you had a uterus  never  maybe you should just 🤐 |  ANG
joe gumminger |  LOV
yes they can if it violates a treaty     |  ANG
other side of the wall for all of them     hahhahahahahahhahaha  |  ANG
true story    |  ANG
sandra delagarza sifuentes |  LOV
 frontiermyanmarnetenannansaysrefugeesinbangladeshmustreturntomyanmar |  SAD
the faces of evil |  ANG
latest report suspects in china are also responsible for supplying opioids and ingredients to make it  |  SAD
did nt the hugh heffner mansion just come vacant he can become a playmate       |  ANG
meridian mckenzie still not sure she is telling the truth  she claims hands on  but references the internet  don’t be so easily manipulated  |  SAD
because that is what i wantright now  |  ANG
noel anderson |  LOV
thank you senator collins  |  LOV
emily ryannorris were you the one who loved his books or was that gage  |  LOV
spectacular  |  LOV
raising the standard deduction will mean that fewer taxpayers will itemize  if fewer taxpayers itemize  then that will reduce the incentive for many of them to make charitable contributions or buy homes  especially among the middle class  charitable contributions  mortgage interest and local property taxes might still be deductible  but only if you itemize  |  ANG
what is the word helped i mean  is there the meaning of the word in this world  |  SAD
our love and prayers to all affected |  SAD
watch out for  fake news   folks  |  ANG
  sticker   |  ANG
uhhhhmmm  no  |  WOW
power plants can still do the right thing and continue to cut carbon emissions  |  ANG
only serving himself  |  ANG
i pray that trump s grand children die of bone marrow cancer |  ANG
that was amazing  |  LOV
keep passing immoral and evil legislation  curse your duly elected leader that s been ordained by god  and proudly express sexually deviant behavior  and then prepare for some more old testament wrath california  it has just begun   now let the troll games begin  lol   |  SAD
joe smith  how exactly did i lie  and what did i sugarcoat  educate me  |  ANG
    |  ANG
good for the rest of us  |  LOV
douchebag |  ANG
you stupid fool  buddhist are the victims |  SAD
his base  dumbfucks |  ANG
tim huff  there is so much coming every day about the trump family and administration  i ve seen articles about daughter and soninlaw using private email accounts to conduct wh  business  but of course  that s different from hc doing it  |  ANG
dope |  LOV
brava  |  LOV
 |  ANG
drew landry |  ANG
oh hell we have 33 million us citizens that our administration wants nothing to do with  i ca nt imagine they ll do anything about anyone elses  😈 |  SAD
what did trump sign |  ANG
🤑🤑🤑 |  ANG
|  ANG
sinclair bowman how could you       p |  ANG
earplugs wouldn’t block it  they won’t even block the painful fire alarm sound in my apartment building  |  WOW
i can not believe the state of california  being one of america s top gdp earners and providers to the federal government  ca nt find a solution to control the wild fires taking place  how can a place meant for the greatest vacation  be a death plot for mother nature  i do not plan to visit nor live in that state  it is not safe for other people  it is not safe for me  great economy  by the way  sad  to hear about the families lost in the fire with late news and little to no advisement of what to do  terrible to hear  |  SAD
prolifers are domestic terrorists  |  ANG
if you pay property taxes and itemize you will likely have a tax increase with this tax cuts for businesses |  ANG
trouble  |  ANG
tornado alley towns have sirens  so do tsunami prone communities  why are there no loud sirens in these fire prone areas  and was the tv radio phone emergency broadcast service used  |  SAD
tamara desánchez we support pr  despise trump  |  SAD
it also wiped out a lot of pot companies gowing legal pot  |  SAD
it is what it is |  SAD
looking forward to seeing this  |  LOV
my god what is going to happen to the world s people  the future seems so bleak  |  SAD
grow a brain  |  SAD
got ta love going backwards   what a waste of time and money  |  ANG
trump hates muslims  where have you been living  under a rock  |  SAD
what can i say  i was a deprived child |  LOV
why i hate gop  for themselves and their friends the same  not for you  |  ANG
pg  e has been at fault for many fires in ca due to lack of maintaining lines properly  |  SAD
stupid stupid stupid stupid  repeal all the progress the other party made just because it was  them   i thought we were all americans  |  ANG
buddhist extremist    not 2 words you often hear back to back             |  SAD
very nice and funny   |  LOV
power lines cause fires when high winds blow branches on them  it s a fact we live with in the west  |  SAD
and may he never find himself truly desperate  either  |  LOV
thank you pbs for that information  |  ANG
so very sorry for your losses  |  SAD
he used to love california then it voted against him and he hates the place  nj voted against him but we are still stuck with his golf visits  |  SAD
as a multigenerational californian with family going back to the 1800 s  i favor a split up of california  let jefferson be jefferson  split off the bay area  let it be its own utopia  and leave the rest of the state  politically and culturally  this would be better than to have 40 million people ruled over by a small coastal elite who are largely outoftouch with everyone not living on the same street as them  |  SAD
truly  muslims have been persecuting nonmuslims for 1400 years with either violence  harassment or taxation for nonconversions  looks like the chickens have come home to roost  |  SAD
he s wealthy  even if a felon  it wo nt matter  money buys respectability  just ask martha stewart  |  ANG
cut taxes  increase defense spending  deficit  who cares  iokiyar |  ANG
relocation  |  SAD
look at the smirks  |  ANG
we all know their tax plan favors the rich and getting rid of the estate tax is a huge win for all of them  they will still keep deductions by using them in their businesses just like they do now  not for middle america at all |  ANG
you think you are better than me because of your knowledge  dont you  well  better people than you are suffering in those fires  and i hope you too will be suffering the wrath of god  |  SAD
trump’s america  why is anyone surprised  |  SAD
westerners seem to care so much about the plight of this one lady while ignoring the plights of millions of women and children who perished in libya  syria  yemen  afghanistan  iraq under intense western bombardments  the reason is that this lady is just playing a character  all of it is scripted to serve the geopolitical propaganda  taliban and western oligarchs are partners in crimes  |  LOV
|  ANG
jennifer zika |  LOV
dad is fine  he had to evacuate his senior apartment 230 am monday morning  a nurse practitioner has taken dad and a friend into her home  feeding dinner and providing coffee and offering to let them stay as long as they need  red cross filled dads medications  2 of the hospitals have been evacuated so his surgery has been cancelled  dads friend is putting up another evacuee  dad is ok and thank you santa rosa for taking such good care of him and all the others  |  SAD
good question scott |  ANG
thank you  |  SAD
why didn’t they all start wearing headphones  |  WOW
our opinions could be influenced by russia and sinclair  |  ANG
so sad prayers |  SAD
they are the best |  LOV
  sticker   |  SAD
best wishes to the families of those lost in this terrible tragedy   |  SAD
colleen mcwilliam ahhhhh |  LOV
stop using the taxpayers money on flying the whole cabinet around  not forgetting golfing trip s   |  ANG
laura michael |  LOV
god bless these fire fighters  people  places  |  SAD
i bet she s considering a run for president  |  LOV
i m sick of winning already  |  ANG
never trust the liar trump |  ANG
her vote of reason is needed on the senate  |  LOV
i agree with the bulk of these posts  this man s story just does nt wash 😒 |  SAD
whatever the cause  s   this is a tragedy  with lives and homes and livelihoods and natural surroundings lost  has anyone heard from the monster in the white house  |  SAD
i d like to give that sob a condition  |  ANG
love susan collins  she thinks for herself and her people  we need more  |  LOV
it appears your job is to lie for your idiot boss  |  ANG
i love the dogs  his babypuppy book is my favorite  universal cuteness and love |  LOV
are they stupid enough to buy his lies |  ANG
😡😢 |  ANG
keeping it real  always😍 |  LOV
just thinning out the stupid and the lazy |  ANG
douglas thomas but you obviously do believe your head belongs in your anus  |  ANG
most of it could have been prevented with stricter building codes and brush removal with goats in the spring and summer  also removal of dead trees  but they all wanted someone else to pay for it  |  SAD
who s minding trump  |  ANG
i believe that the effective tax rate  for the trumptards that means  real  rate  paid by big business is around 14   when trump surreptitiously released his 2005 return  the only reason he paid a measly 20  rate was the alternative minimum tax  otherwise his tax rate would have been only 6  when he claims that the new tax plan  which eliminates the amt wo nt help him personally  it s just another one of his many bold faced lies  |  ANG
call em drug dealers |  ANG
  animatedimagevideo   |  ANG
he is taliban |  SAD
very alarming  |  ANG
welcome to fox news and your current president  |  ANG
😎      |  ANG
this is nt news  i wo nt watch  |  ANG
further proof the man is a moron  |  ANG
yeah right republicans  now you want to talk about loving each other  being nice and kind to each other  really  after you all spent the last 8 years  hating obama  promoting and spreading your racism  and hatred   you spent 8 years destroying and tearing this country apart by believing trump’s birther crap  calling him a muslim  all along talking about putting god back in our lives  but all your hippocratic policies show the opposite  you show no regard for all life  in fact you show you worship your money and greed more than you care about these so called god like behavior like kindness  love  most of all pro life issues    in fact your two face bs  promotes policies of destroying all life on our planet   you put that criminal  pervert  killer in the whitehouse  trump threatens every freakin day our total destruction of this planet  through complete annihilation of our world from nuclear war   playing this stupid games with the other crazy in n korea   also republicans and trump promotes killing more americans people with your health care policies  taking away healthcare from more americans  all so the rich get richer  big corporations  ceo’s  big insurance and big pharma industries can profit more  republicans and trump backed our bought and paid for congress  who promotes more mass murders through selling more guns  especially these automatic weapons  of mass murders so you all could profit    you republicans back and support trump reversing epa policies to protect our environment and planet   allowing fossil fuels industry to destroy our environment  and planet all for profits   you are ok with starving and killing children  with your greed  through giving more tax breaks to the wealthiest  who dont need more money  and taxing the working americans more   no all your greed  of making the rich  richer  and making the poor poorer   you are ok with killing more americans  with these horrendous storms from climate change  with more and more droughts  floods  fire  and hurricanes   sure  now after you practice such greed hatred and evil  you put such evil and greedy perverted in the whitehouse    but you all called yourselves christians   well now what appears to be the wrath of god is upon our country    increase in fires  hurricanes  and mass murders   wth you all are evil liars    open your eyes  all this has worsen since trump was put in office     you all need to practice what you preach    respect  and protect all life  and god is giving you this wake up call    love all life  not love only what money can buy    your live of money and greed    now is the time to prove it   impeach trump now   and clean your a   up   if your religious bs was real   why is wrath of god in us    wouldn’t all this stoo    no because you don’t practice gods truth     practice true love  kindness for all life all the time  not just now that god’s wrath is upon our country    i speak to these religious terms  as that’s the way and what the republicans believe in  and are pushing all americans to practice  this so called faith in their biblical beliefs    well no you will not tell me how to practice my beliefs and faith in godspirit  i choose to call our creator spirit    and you have no right to tell me i can’t practice my beliefs    i personally believe god spirit is in all through all  and it’s all love  i believe through our disrespect of mother earth  and all life  spirit is giving us what we have spent so much time and focused on  all this destruction and hatred  i believe all light worker  need to hold our world in a higher consciousness  as it is time for us to shift our consciousness to yes real love of all life   i believe we need to practice peace and love to all  this is our truth  |  ANG
i live in soca and  100000 would be great  except the state would take it all  |  ANG
trash |  LOV
get him out  |  ANG
sue |  ANG
people always use the name of religion to do the inhumane things  what s an ironically world we live in   once religion is mixed up with politic  tragedy will fall upon the people of that society and the around the world  i wonder when we  as the human species  learn from our past failure mistakes  |  SAD
we do nt have a legally elected president  stfu |  ANG
moron |  ANG
this man is despicable |  ANG
you all do realize most of the opiates being used are home grown pharmaceuticals given out by prescription and sold to addicts right  |  SAD
who s invading who  100 million slaughtered native americans are the rightful owners of this country  you can move the fk out if you d like to  |  SAD
 sheltered  |  LOV
douglas thomas      |  ANG
moron |  HAH
they re so genic  |  LOV
idiot  dangerous maniac idiot  |  ANG
watch and see who gets stomped  |  LOV
thank you because america needs you more than ever🇺🇸🇺🇸 |  LOV
i would think trump would like to be the president that welcomes a new state into the union |  ANG
what i need to know is what congress is going to do about this crazy  megalomaniac who is putting us all in great danger  |  ANG
no  we do nt not need to be  but we should be  jeffrey  unfortunately  our leadership is lacking and focused on attacking the 1st amendment  |  SAD
eric schmeltzer |  SAD
how much longer  mueller   |  ANG
 or it has to do with science  but the left doesn’t believe in science  |  ANG
bambi |  ANG
i do nt know  but i do know it s ethnic cleansing and it seems if we do nt do anything to help  it s another syria  rwanda  cosevo  it s frightening  |  SAD
cheryl malone and sometimes we get what others deserve   |  SAD
tump should bomb mexico |  SAD
not this axxhole  mcnamara  |  SAD
re  tuesday s appearance by robert murray  i was shocked and appalled to see this blithering madman on pbs  truly  where have your standards gone   both sides are not worthy of a voice  people who refuse to acknowledge science  and basic reality   are not entitled to a stage or need be listened to by reasonable rational human beings  having to listen to matt schlapps apologist equivocating and denials once a week is horror enough  this murray guy sounded like a demented inpatient off his meds and is about as obvious a crooked conflictsofinterest biased party as there could ever be  what were you thinking   |  ANG
just make sure you do nt water it from lake o and any fracking gas site soon to me introduced in florida  |  LOV
he’s onboard the trump travesty train |  LOV
i already have hearing issues  so not going to listen |  WOW
remember the “aluminum tubes” that was used as excuse for iraq war  the drums are beating again |  ANG
roflmao  uhm yes  the courts can   |  ANG
fake president  sad  |  ANG
elizabeth harrington  thank you  i know most good people do  specially those who know someone from the island  even those who do nt  empathy is something most people have  but sadly some do nt  |  SAD
karen joy roth it does because it is  |  SAD
this is the textbook definition of holocaust  but  no one would care now as their complexion is dark  western world was crying a river for one woman so much named malala yousafzai as it served a war propaganda  she is a tool i believe  and  now an entire ethnic group is being slaughtered in front of the so called  international community  and they are looking the other way  this hypocrisy is stunning  where is the so called buddhist tolerance  where is that imperialist stooge dalai lama  where is that humanitarian bombings and sanctions similar to libya and syria now  i bet the military of myanmar is doing all that atrocities at the behest of western leaders  |  SAD
i personally believe that birth control should be provided for free to both sexes  including surgical sterilization if desired  we also need to have real sex education in schools  this would reduce abortions and unwanted pregnancies  let’s be realistic people  just because an egg is fertilized doesn’t make it a person  it is a single cell  it has no brain  we do not scream murder if someone scratches off a few skin cells  an iud is not an abortion  even without iuds  uncounted fertilized eggs do not implant and are expelled  we are not trying to save all those eggs  so why do so many see the iud as an  evil  thing  |  ANG
interesting |  SAD
trump must go  any where  any way  just soon  |  ANG
i m looking forward to seeing this and learning more about mr marshall  |  LOV
central bank issue  with korea  iran  and irag  hmmmm  |  ANG
👏🏼💪🏼👏🏼💪🏼👏🏼 |  LOV
     |  SAD
moron in chief   |  HAH
screw you trump  |  ANG
jim biederman |  SAD
how is pbs using children to manipulate  please explain that statement further  |  SAD
tax religious organizations  |  ANG
remember  god do nt like no ugly  especially someone like you using his name for your own hatred  |  SAD
if this coarse venal little bully thinks he can intimidate iran  he ought to try reading their history  starting with cia shenanigans and putting the evil shah in power  it will take more than this chief twit to intimidate iran  and having complied with international accords  iran deserves a little respect  but not as long as the israeil lobby controls congress  |  ANG
🤦‍♀️😡 |  ANG
all my money back  yaboo soooeee  |  ANG
how can the smile |  ANG
if you dont like abortion  dont be anti contraceptive  |  ANG
why is it considered a tax break  you are being doubled taxed if you pay taxes on state and local taxes   i thought you were not supposed to be double taxed  |  ANG
in otherwise lie to them |  ANG
 myoutubecomwatch  featureyoutube  vlunhybokiju |  LOV
an the people wearing viginers  |  ANG
just that sample at low volume hurts  comparable to listening to sarah huckleberry sanders  |  WOW
why do so many americans are so unhappy      |  SAD
as terrible as it has been in the napa valley  it could have and would have been much worse without the amazing fire personnel working around the clock  monday we were almost surrounded by fires  to the north  east and west  nearly to the south  today we feel like the tide has turned and we are seeing the last of the big fires being fought down today and hopefully tomorrow  it was kept to the surrounding hills by these wonderful and tireless people  if you see a firefighter  give them a hug  |  SAD
interesting that there is absolutely no background noise whatsoever  i work with audio a lot  and if this were a legitimate sampling of the sound in question  it would not sound like it was recorded in a studio  |  WOW
what a stupid statement  |  LOV
you hired him to take health insurance away from low income people  huh  interesting |  ANG
trump s tirades over iran and north korea is going to get a lot of americans killed and it s not going to help anything  this is all about his ego  |  ANG
notice how the supposed solution always involves the pharmeceutical industry profiting   |  SAD
congratulations  keep moving forward    |  LOV
what american interest would be served by a war in burma  |  SAD
welcome to islam  |  SAD
probably because instead of creating opioid regulations  focusing on mental illness  and addiction itself should be primary  i dare say that most people whom end up mentally addicted to opioids  have probably already experienced some form or forms of addiction  |  SAD
dem s bettet not sell their souls  |  ANG
try balanced reporting first  pbs newshour  |  ANG
   |  ANG
they are against sex education in schools too  |  ANG
those words are timeless  |  SAD
physicians write the scripts  and people willing take the pills |  SAD
we need her  thank you susan collins  |  LOV
megan sarah |  LOV
fox news  your current president  |  ANG
remember acid rain and all that it killed  |  ANG
some of us are going to die  |  ANG
he has to blame mexico  his fearful leader told him the wall would solve everything  |  SAD
amerikas empress       |  ANG
eliot w collins some of the poor will actually see a tax increase from 10  to 12  how fair is that  |  ANG
so sad  |  SAD
but why though  🤔 💰💰💰 |  ANG
look up appeasement  chamberlain and hitler |  ANG
peter your factual data proof is  |  SAD
revoke their licenses  |  ANG
not if you don’t watch it |  ANG
please register and vote  |  ANG
robert bonham oh and it’s you’re  |  SAD
je suis la |  SAD
going backward to the 19th century  |  ANG
oh for pete s sake contraceptives stop the need for abortion  it needs to be free and accessible |  ANG
it’ll never reach my household  ever   |  ANG
weed is not a pain killer |  SAD
joseph gushue |  LOV
greed |  ANG
idiot |  ANG
as hitler would say  your covered with a blindfold  lined up against the wall        |  ANG
this is terrible  |  SAD
katu |  ANG
 youtubeppe5xybp0d8 |  ANG
trump is using the dreamers like a commodity |  ANG
but trump is nixing all climate initiatives |  SAD
but after that they fell off the wagon because of lack of continuous support  but then again according to pence all you need is “more” baby jesus to heal you  |  SAD
not a good president  |  ANG
well  he let outside influences make his decisions in oklahoma  so just same old him  |  ANG
this moron needs to be sent back to the tribal lands  |  SAD
mother nature is not a nurturing mother  |  SAD
she s lucky  you re lucky  well  everyone at your house is  congrats |  SAD
bs and hot air  |  ANG
gabriela horn y rosa esther flores 😂 |  LOV
they look just like finn  ❤️ |  LOV
stevie fenton trumps behavior has nothing to do with natural disasters  it has to do with how poorly he handled the situations  the ops did nt go over too well either  he s an insecure and egotistical man  you can tell his motivation is to boost his overinflated ego and really nothing more  he cares for no one but himself  |  SAD
indict them under the rico act for taking kickbackbribe money along with conspiracy to commit unlawful acts treason for freaking up our country  |  ANG
cheryl thayer greta  ❤️ |  LOV
pbs using children as propaganda props again  |  SAD
tweetie needs to shut up  he lies       |  ANG
americans lack a soul  that is why they are so addicted  yearning for something to make them feel better and avoid their life  sad  |  SAD
we need many views not less   |  ANG
🖕🖕🖕🖕🖕🖕 |  ANG
can’t wait to see it  |  LOV
remember becky and her weimaraner max  |  LOV
mr trump can not scrap this agreement  he can treat us citizens with contempt but needs to take more care with the rest of the world  |  ANG
my state  i m hiding  |  ANG
voodoo economics  |  ANG
yeah  not going to listen 😊 trust level is low lately  |  WOW
frack  drill  and burn  let’s roll america  |  ANG
 |  HAH
the greed will never stop |  ANG
brittany yates roffman |  LOV
meanwhile the clown in the oval office is pitching fits about football players  puerto ricans and signing death orders for the common folk  sick  sad excuse for a human  |  SAD
 trumpzadoosh🎺💩✴😜 |  ANG
100000 is not necessarily  high income  sure would be nice to make 100k in buford wy  but see how far that goes when you live nyc  i generally love pbs reporting  but it would have been better to address the complexity of america and how hard it is to make a uniformly fair tax code for everyone when there is such disparity in economic realities  not just the  being deposited into your account each pay period  but also how much it costs to live in different places  |  ANG
amy taylormorton nathalie lagdenouellet |  LOV
alisa arthur lol  that is just too ridiculous  lol |  SAD
trump is nt keeping his word  what a shock  |  ANG
we re losing our groundspeople with the flooding of pharmaceutical companies private suppliers  more than the opioids  research my friendsresearch   🐞 |  ANG
too bad for certain areas that are not friends of iran  |  ANG
ya know what stops the need for abortion  birth control  |  ANG
lawrence odonaldmsnbc at 900 cst  duty to warn s dr john gartner  on now |  HAH
of course  |  ANG
mother nature is not a nurturing mother  |  SAD
he is the enemy of the american people  |  ANG
he lies  |  ANG
another corrupt pa politician  |  ANG
you are the dangerous one trumpo |  ANG
there are some shenanigans going on with this family s story  i smell a rat  |  SAD
i hear u portia  what r we gon na c this time gwen thomas williams |  LOV
they say a lot of things  you can hear it coming out of their mouths  around the sides of their feet  😉 |  ANG
what an enlightening but disturbing 60 minutes segment that was  |  ANG
iwhat do chronic pain suffers do when they only take their medication as prescribed by a responsible dr  they are swept up in this trendy opioids hysteria  what  |  SAD
traitor to america |  ANG
this would kill nys  |  ANG
what did they expect  an honest deal  |  ANG
one of these idiot crackers who do their own  research  but could nt pass freshman comp  |  SAD
scrapping the iran nuclear agreement only adds fuel to the fire from north korea  how could they expect our country to honor any negotiated nuclear agreement with them   |  ANG
senator and  in your face  corruption go together  a fix and small number of senators by region  rich or poor  big or small  is the perfect recipe for corrupting democracy  |  LOV
this is very disturbing  |  ANG
i abhor  hate  and despise you  trump  you are dumber than a bag of nails  |  ANG
cheryl malone god is love  why would god destroy his creation  we are our own best enemy  we refuse to realize and accept that climate change is happening  we build in known flood plains  we refuse to accept  green  and solar energy sources  we farm using too many harmful pesticides  the list goes on and on  |  SAD
dirty old man  repent while there is still time  |  ANG
more trickledown   |  ANG
 covfefe |  ANG
being antiabortion is being a hostage taker of the worst kind  one who uses all the weight of stockholm syndrome  |  ANG
trump will throw them some more paper towels  shameful  |  ANG
he is less than nothing  a revolting liar |  ANG
maria santiagoerickson |  LOV
thank god  |  LOV
welfare for the rich  as usual      |  ANG
yep         |  ANG
good comparison but i d say the cicadas are more whiny and this is more maybe whistley and shrill  i do nt mind the cicadas even when loud  |  WOW
trump is a vindictive child that is out of control |  ANG
100th  i m sorry  but  i ve never heard of you or thisi must been living under a rock  |  LOV
these are americans  |  ANG
20 years is enough no matter what party you vote for  |  LOV
omg |  ANG
