love his work  makes me miss my kojo even more  |  LOV
tom sinden hannah montgomery |  LOV
thats awesome   |  LOV
sarah rose willett |  LOV
danielle vlazny |  LOV
justin bartlett 😀 |  LOV
lauren ballough gail gondek |  LOV
thank you ann |  LOV
❤️  |  LOV
john breeze rose grace |  LOV
corrin 😂 |  LOV
katie feltonmoore 😊 |  LOV
when he chose my dock dog  as one of the finalists in a  competition called fauna a couple of years ago  that was quite an honor  when i entered it i did nt think i had much of a chance since 1 it was nt a dog  contest  2 because he s known worldwide for his weimaraner graphy  and would nt dare choose a  of a weim  but he did and it was awesome   |  LOV
gordon |  LOV
leah mueller mcfarlin |  LOV
erin frazel |  LOV
gladys colon |  LOV
sandra delagarza sifuentes |  LOV
david |  LOV
noel anderson |  LOV
i follow him on instagram lol |  LOV
oh snap  that s incredible  i grew up reading his coffee table books  i thought they were the best thing i had ever seen as a lil 6 year old |  LOV
same here    the outfits he chooses are 👌👌👌 |  LOV
melissa goldstein |  LOV
tyna mcnair |  LOV
jennifer zika |  LOV
tempting  i do have some nice ones  and signed  met him on haight street in the 90 s  |  LOV
valerie mallon |  LOV
anna white |  LOV
omg |  LOV
melissa snyderlasecla |  LOV
annabelle chambers |  LOV
fay   |  LOV
suzy hawkins |  LOV
sophia smith |  LOV
michael nelson |  LOV
gabriela horn y rosa esther flores 😂 |  LOV
doug geist |  LOV
i love his work      |  LOV
micah e wood |  LOV
claire dickson x |  LOV
goodness  ca nt imagine lucie being so good natured to dress and pose  although she does love her knitted winter coat  made me smile  thx  for sharing  x |  LOV
claire dickson oscar would though  |  LOV
warren milstead |  LOV
julie barlow sklener  aaron sklener |  LOV
10 months ago |  LOV
 |  LOV
angie z gregoryzach gregoryrobert a gregory |  LOV
wendi giles |  LOV
lucy stubler |  LOV
haha  i love william wegman  i have one of his coffee table books 🤗 |  LOV
skye thomas |  LOV
miles schuster |  LOV
dominick joseph maggiore |  LOV
i know of this  susanna is a fan |  LOV
hes one of my favorite graphers   |  LOV
sharonne jaimes |  LOV
alanna meress satterfield  |  LOV
mary mcnutt |  LOV
jimmy dean |  LOV
linda henry |  LOV
roy feldman |  LOV
jenny vega |  LOV
kara brown dubis |  LOV
i have a few of his coffee table books  i do nt think i can ever get enough of his work  love those weims  |  LOV
rosalind |  LOV
amanda shelton davisson |  LOV
❤️❤️❤️  total bucket list item to meet him and assist on set  sigh  |  LOV
ellie |  LOV
sonika rm |  LOV
kyle melin |  LOV
deanna nantz |  LOV
yes i really have a problem i love these dogs  thank you |  LOV
angela |  LOV
donna patterson geneva udell |  LOV
kristin kohnke schaff |  LOV
joseph gushue |  LOV
janet anderson |  LOV
kieran bayliss |  LOV
kael perejda |  LOV
maria santiagoerickson |  LOV
joe gumminger |  LOV
amber moses |  LOV
actually have a book of his😆 |  LOV
bettina zenke  |  LOV
helen vivi stavropoulos cloutier |  LOV
naomi |  LOV
can yağız |  LOV
luke thorburn |  LOV
look familiar  i think this came out in 1993       |  LOV
amanda nickerson |  LOV
the devil in th grove is an excellent historical account in which his impact is detailed  he fought so much injustice and  like too many  was met with hatred and lifethreatening violence  he had a huge and positive impact in the civil rights movement    ieutf8  qid1507985735  sr81  keywordsdevilinthegrove |  LOV
towering justice  no  he was an excellent advocate for civil rights and that was his main contribution   as a lawyer  as a justice  his contribution was far more limited  he should have remained where he was at his best  as a lawyer for civil rights  |  LOV
i m looking forward to seeing this and learning more about mr marshall  |  LOV
that s associate justice marshall  |  LOV
ca nt wait to see this film  |  LOV
looking forward to this  |  LOV
looking forward to seeing this  |  LOV
really enjoyed the movie  |  LOV
awesome will see it again    beautifully sdone👉👉👉👉👉 |  LOV
excellent movie  we enjoyed it immensely  |  LOV
looks good |  LOV
informative and enlightening  |  LOV
filmed in buffalo  ny  |  LOV
it s time to do another movielunch date  paulette hayes patra sweeting patricia williams patricia bush portia livingston denise noel lauretta deveaux henderson |  LOV
okay |  LOV
ok count me in |  LOV
i hear u portia  what r we gon na c this time gwen thomas williams |  LOV
patricia williams  marshall  about thurgood marshall |  LOV
ok let me know the day and time |  LOV
inspiring  makes me want to learn more |  LOV
can’t wait to see it  |  LOV
enjoyed this movie |  LOV
great movie  worth seeing |  LOV
matthew ellington  audrey rose  daniel ellington movie time🍿📽 |  LOV
an implosion of brainfreezing terror  well done mr kay   |  LOV
one of my favorite illustrators  |  LOV
sapna iyer |  LOV
dope |  LOV
cata dinahkelly caballero |  LOV
margaret murnane  melissa severson |  LOV
even though she is a moderate  she still votes to keep scum like mitch mcconnell in power  i wish she would run for governor so maine could elect a real progressive  |  LOV
thank god for republicans like senator collins that have actual morals and values  |  LOV
yes  she s one of 7 remaining  |  LOV
they re rarer than hens  teeth nowadays  |  LOV
thank goodness please stay and inspire other colleagues to join you in actually looking out for your constituents  |  LOV
why not become a democrat susan  you seem much more in line with them than trump and his gang of cut throats  |  LOV
she saved the day for obama care and the 3 republicans are our heros but right now everyone hates the republicans like a passion they will over look the good thing those 3 did and vote demo maybe if she wants to be re elected 2020 she switches to a demo then we all can benifits of her saving the days in the future days |  LOV
one of the only sane gop members in congress  stay  |  LOV
both parties are still corrupt  however  if you belong to either  you re a traitor that must suck signed ind voters |  LOV
dear independent voters  the corrupt are in the minority  most democrats and republicans are good people  |  LOV
thank god  we need more sane voices like hers in congress  wouldlove to see her run for president  |  LOV
glad to hear there will be a centrist gopsenator around  we need more  |  LOV
thank you senator  we need you to help stop the crazy man in the white house |  LOV
i like her and republicans need more sanity in the senate because of the unstable president  |  LOV
bless this lady  she can do so much of worth as a senator   this coming from a democrat   |  LOV
thank you sen collins for your voice of reason  |  LOV
thank you susan collins  at least one sane senator  |  LOV
thank you senator collins  |  LOV
we need her to stop some of the worst the republicans want to do  |  LOV
she s the worst hypocrite ever  |  LOV
hope the voters in maine don’t fall for it just because she she voted against aca repeal twice  what good came out of that  the gop and white house continue to tear it apart  |  LOV
her ignorance on issues should scare everyone  |  LOV
i do nt live in maine  but i like her  she is gutsy  real  |  LOV
thank you for your support for the regular people of the united states    sticker   |  LOV
we need her in the senate  a voice of reason  |  LOV
good for the rest of us  |  LOV
susan collins is needed in the senate  |  LOV
it is good to know we have a few humans in politics😊 |  LOV
i like that she can help us all in the senate  we need her  |  LOV
20 years is enough no matter what party you vote for  |  LOV
at least some good news about republicans this week  |  LOV
the greed over people party  will turn her into a democrat before this is through  |  LOV
ray brown what does this statement refer to  |  LOV
lol  the friendly nazikkkrussian fetish party member  |  LOV
thank you senator collins we need you in the senate  |  LOV
i bet she s considering a run for president  |  LOV
that s not the collins who needs to go  ny needs to get rid of theirs  |  LOV
her vote of reason is needed on the senate  |  LOV
maine desperately needs a new governer but thank she is staying in the senate |  LOV
one of the few sane republicans |  LOV
love susan collins  she thinks for herself and her people  we need more  |  LOV
thank you because america needs you more than ever🇺🇸🇺🇸 |  LOV
my god  we need her sanity and honesty in washington  |  LOV
and they already have the greatest governor anyway  right  |  LOV
a woman who votes for the good of the country and it s citizens instead of her party  one of the few gop that can be respected  |  LOV
senator and  in your face  corruption go together  a fix and small number of senators by region  rich or poor  big or small  is the perfect recipe for corrupting democracy  |  LOV
at least a voice of reason will be around for a while longer  |  LOV
she is the breath of reason  |  LOV
we need your leadship now more than ever       |  LOV
thank you sen collins  |  LOV
wonderful  you are a great senator  thank you  |  LOV
after 2018  she will be just another one of the 60 republican senators plus the vp  that will give republicans in the senate  power of cloture  they are only 8 seats away now  there are 25 democratic held seats up for reelection  half of those are in trump won red states  republicans will more than likely pick up 810 seats  when that happens  senate democrats will be locked out of all discussion and votes  where they will lose every time  because they will have 40 seats or less  that makes susan collins positions in the senate almost meaningless  trump will get 3 more sc nominations before 2020 democrats will not be able to stop a single one  that will tilt the court 81 right  for the next 2530 years  |  LOV
and that will mark the end of the constitution and democracy and this country permanently |  LOV
yay that s where we need her  |  LOV
thank you  susan  we need you there  |  LOV
please |  LOV
thank god  we need her there |  LOV
yes  thank you  |  LOV
thank you  |  LOV
good  the country needs her  |  LOV
good news for all of us  |  LOV
good we need senators like her  |  LOV
thank you  they need you |  LOV
she knows we need her  |  LOV
thank god  |  LOV
thank god  |  LOV
vote her out |  LOV
we need her in congress  |  LOV
good  |  LOV
wonderful news  |  LOV
a republican with a spine  |  LOV
thank you  |  LOV
we need her in the senate  |  LOV
yes thank god we need her |  LOV
thank you  senator  |  LOV
good  the country needs her in the senate  |  LOV
she stinks |  LOV
thank you |  LOV
we need her  thank you susan collins  |  LOV
very smart lady  |  LOV
term limits  0 |  LOV
she should just retire  |  LOV
love susan  |  LOV
oh  if i can only retain my sense of humor like this great fellow  i will die happy  i wish everyone could take a page from his book  and age gracefully  amazing  |  LOV
this was a wonderful interview  maintaining his humor and the ability to play piano from memory  i enjoyed this piece very much  thank your father for me  |  LOV
i enjoyed this interview very much  this old fellow still has the kind of grace  wit  and humor that we could all hope for  |  LOV
this was a very neat  humorous and kind segment  mr goldbloom is a wonderful fellow who has lost some of his memories but is happy with life  |  LOV
he is glad to be alive  that is a gift when dealing with trials and tribulations of aging  each day is a gift  enjoy yours  |  LOV
beautiful man  beautiful hommage to the segment  always a highlight  this one extra special  gratefully etc |  LOV
i caught this delightful interview  thanks for the spirit lifter  |  LOV
it was a pleasure to watch  how lucky he is to still have his father  i could feel the love  |  LOV
this was a wonderful piece and i hope i age as gracefully |  LOV
thank you for sharing  brightened my day  |  LOV
i was going to comment but i forgot what i was going  you guys  you guys forced a dry spot to appear in my throat and some salty stuff to came out of one of my eyes  reminded me of a dear friend  every time i forget something i stop and pay a small tribute  now i have this to help me focus next time  thanks |  LOV
i ve watched this over and over  wonderful  |  LOV
wasn’t that a nice piece  we watch pbs news every day  |  LOV
this article had me laughing  crying  and loving this family  thank you  |  LOV
my favorite yet  thank you pbs for presenting brief but spectacular  it s a gem of a show  |  LOV
these segments are really great  thanks pbs  |  LOV
what a positive attitude  |  LOV
a lovely interview  |  LOV
beautiful story  both men are very lucky  |  LOV
children and animals |  LOV
absolutely great interview  beautiful  |  LOV
💙 |  LOV
camilla currie  did you see this  |  LOV
no  thanks  you are becoming the world traveller  love it |  LOV
mindy kremer |  LOV
 thechronicleheraldcaartslife1166877drgoldbloomsluckylife |  LOV
wow  i now have to see this film  i m here in central florida and see kids like this  families like this  everyday  your interview with the film maker has convinced that he took the time and heart to do their stories in what seems to be a really warm and wonderful way  thankfully  it is playing locally  |  LOV
i loved tangerine  |  LOV
hipsters |  LOV
kat vivaldi |  LOV
mark holmes |  LOV
brian taylor |  LOV
edelyn consoro |  LOV
what an amazing man  so honoured to know him  |  LOV
very interestingthank you for sharing |  LOV
absolutely amazing  thank you  pbs  for finding and sharing this lovely story  |  LOV
mr goldbloom you are having a spectacular life  noting is better than living life with all the vulnerabilities  🐢🎷🌈🌻 |  LOV
loved this on the newshour           |  LOV
stephen  both you and your grandfather are amazing  your voice is your dad s   |  LOV
gwen thanks for sharing this  a wonderful couple  |  LOV
what a wonderful man  so great to see the person who inspired the series  his grandson is a lucky man  |  LOV
i look forward and enjoy all the brief but spectaculars     thank you  |  LOV
100th  i m sorry  but  i ve never heard of you or thisi must been living under a rock  |  LOV
need to get one of these on your mother margo cadegan  |  LOV
linda webb  this is so sweet |  LOV
lee feldman i think you ll love this  |  LOV
beautiful  and thank you david  |  LOV
sandy thull rachel ann thought you two would enjoy this❤️ |  LOV
beautiful to listen too  |  LOV
truly moved thanks for sharing |  LOV
amazing man  he and his late wife so respected in our part of the world  |  LOV
this was wonderful to witness  teaching and mentoring others still in this new stage of life  |  LOV
superb  i guess a really fine wit stays with you  |  LOV
my first husband and i lived in the same apartment as ruth and dick  we had a great deal of fun together |  LOV
this episode and the the calvin trilling episode are two of my favorites  |  LOV
❤️ this series  |  LOV
i love ❤️ these segments  |  LOV
that was so moving  one of the best |  LOV
heart warming on second watching 💕💛 |  LOV
this series is wonderful  |  LOV
such a sweet segment  |  LOV
just love this duo    |  LOV
i love bbs  |  LOV
this man was a riot    |  LOV
truly wonderful  thank you  |  LOV
so beautiful  thank you both for sharing  |  LOV
what a fantastic outlook on life   |  LOV
wonderful family  |  LOV
so touching  inspiring |  LOV
love his humor  |  LOV
love this  |  LOV
beautiful man thank you for this  |  LOV
beautiful interview  wonderful man❣️ |  LOV
spectacular  |  LOV
fantastic  👍 |  LOV
what a wonderful man  |  LOV
wonderful |  LOV
wonderful |  LOV
god bless  |  LOV
lovely person  |  LOV
spectacular    |  LOV
what an incredible man |  LOV
fascinating man  |  LOV
beautiful  |  LOV
wonderful segment  |  LOV
lovely |  LOV
love it   |  LOV
loved this❤️thank you👍 |  LOV
how wonderful  |  LOV
lest we forget    |  LOV
wow how amazing |  LOV
a beautiful segment  |  LOV
“great  👍👍👍 |  LOV
thank you |  LOV
beautiful  |  LOV
wonderful  |  LOV
wow  |  LOV
what a lovely man  ❤️ |  LOV
❤️ |  LOV
better than the alternative  bingo  sir    |  LOV
another comment  i have read his book |  LOV
😂 |  LOV
this one was amazing steve goldbloom  |  LOV
kathiesteve lockwood fred nichols barbara nichols |  LOV
that was amazing  |  LOV
have you gotten on  or there    |  LOV
nope  missed 3 flights  not even trying the last  overbooked   going to hotel now  nap time    |  LOV
nap time and hotels are good after all the care giving   |  LOV
zahavah kaytatjana kay |  LOV
marya murphy |  LOV
jonathan easterling  jerrie easterling  david easterling  karen easterling  jen easterling fuller |  LOV
amy taylormorton nathalie lagdenouellet |  LOV
nathan ginger |  LOV
adam vaught |  LOV
marla manela davidson |  LOV
john popenuk  carrie popenuk nick popenuk  misha popenuk jane montague  reminds me of dad  |  LOV
he is playing chopin s aeolian harp etude  youtubevxlzwsjqg2y |  LOV
just finished watching your news hour  and was disappointed and appalled that no mention was made about the humanitarian crisis in puerto rico  has pbs newshour forgotten the american citizens of puerto rico  |  LOV
chuck torri  what s funny  do tell  |  LOV
check out his  page  he s a shill   a player  just looking to antagonize  |  LOV
andy irwin  may he never find himself truly desparate and in need of help  |  LOV
and may he never find himself truly desperate  either  |  LOV
jeff wietor is another shill  click on his page   there s nothing there  no life  no history  nothing just looking to aggravate  |  LOV
my no lawn front yard in denton  texas  planted for the pollinators       |  LOV
i adore your yard it’s my inspiration and aspiration |  LOV
cool  i would love to replace our lawn with a florida certified landscape  |  LOV
just make sure you do nt water it from lake o and any fracking gas site soon to me introduced in florida  |  LOV
 |  LOV
another uva alumni achievement  wish we could learn how to use some of these ideas on a smaller scale  |  LOV
katie canavan smithson  an article you might be interested in  |  LOV
dump matt schlapp  |  LOV
brilliant work  |  LOV
what s with the quotation marks  |  LOV
brava  |  LOV
hannah  kristina  tonja and shannon  interesting article  |  LOV
jessica lee creeden |  LOV
kim wootton |  LOV
i just thought that this particular mcknight winner was speaking your language  |  LOV
i agree |  LOV
hector torres |  LOV
katina wright |  LOV
julianna caskie |  LOV
uncomfortable  he knocked my socks off and they flew all the way down the mountain  i had to take a 6 mos  break from fiction entirely  it was an existentialist crisis i may never recover from  |  LOV
writing should make people think  i applaud his ability to do just that  |  LOV
my goal is to read a book every two weeks and now this is definitely added on to my reading list  |  LOV
the sympathizer is an amazing book |  LOV
absolutely  |  LOV
wow pbs  you actually posted something nonpolitical or divisive  congratulations 😊 at this rate you may actually earn the status of having journalistic integrity and standards by the year 2089 keep that up  |  LOV
he did  |  LOV
good video i saw it  he keeps it real   |  LOV
who is he     |  LOV
this was awesome 👏 |  LOV
newfound admiration  |  LOV
he is signed to miramax  harvey |  LOV
who  |  LOV
i heard it  it s nonproductive crap  |  LOV
finally someone did it |  LOV
go get him  em     🎼🎼🎼🎼 |  LOV
trash |  LOV
do it |  LOV
loved it |  LOV
he s still got it   |  LOV
m  m  peanut or plain  |  LOV
yup emonem lost his mind we all heard |  LOV
|  LOV
like em   |  LOV
poser |  LOV
no one cares |  LOV
👍 |  LOV
👍 |  LOV
😍 |  LOV
who  |  LOV
watch and see who gets stomped  |  LOV
👍👍 |  LOV
yawn    |  LOV
who  |  LOV
who |  LOV
      |  LOV
wow |  LOV
next |  LOV
no |  LOV
gey |  LOV
silly little imp |  LOV
really  there s a reason why those legal citizens were called racists and nazis  hmmm  maybe because they were marching under the nazi flag  |  LOV
no you re considered a nazi for carrying a nazi flag and chanting jews will not replace us  maybe the nazi tattoos and white supremacist videos too   yes that will do it  |  LOV
he’s onboard the trump travesty train |  LOV
no racists are racists and nazis are nazis  there is no such thing as illegal citizens but children that came over here not on their own why ca nt they be dreamers  who has the delusional mental disorder  |  LOV
brian renfrew is a victim of himself  too pathetic to make an effort to be more than a drain on the rest of society  sobbing about how everyone who puts forth effort has made him a victim  typical trumprube  the type trump spits on if they get too close  |  LOV
i ca nt even bring myself to lash out at you people  i feel sorry for you more than anything  |  LOV
is this real  did the president really get into a word battle with a rapper  |  LOV
it was on the internet so it must be real |  LOV
lol  please tell me you didnt really think trump could tweet that |  LOV
ah good point |  LOV
haley peach |  LOV
right on stephanie pietry  |  LOV
 myoutubecomwatch  featureyoutube  vlunhybokiju |  LOV
  vlunhybokiju |  LOV
janey timmdawes |  LOV
keeping it real  always😍 |  LOV
  utmcontentmain  utmcampaignsf  utmsourcefacebook  utmmediumsocialmarketing |  LOV
andrew jetson |  LOV
tyler babcock |  LOV
keith owsley |  LOV
❤❤❤❤ |  LOV
puke   |  LOV
wonderful idea  feel everyone  no matter where you live or status in current situation  should learn how to swim  actually it would be best for parents to consider this a priority for all of their children  live in a city where many  if not most  residents have a pool or easy access to one at any time  unfortunately  as soon as the weather starts warming up each year  the news reports of child drownings begin  incidents in most cases could be prevented  |  LOV
saw this last night and watched it again this morning because of the great case of the  feelies  it gave me  |  LOV
greece has done an outstanding job of rescuing refugees from the seas for years  welcoming them  helping them  it s inspiring  |  LOV
the smile on that mans face just made my day  |  LOV
so beautiful  heartbreaking  hopeful  god bless these teachers and swimmers  |  LOV
british invites world trump builds walls 30 foot high |  LOV
watched last night  very heart warming  thank you |  LOV
this is incredibly inspiring  |  LOV
celia almeida how beautiful is this  |  LOV
😭😭😭 |  LOV
made me smile  thanks again  pbs  |  LOV
bravo  |  LOV
beautiful  ❤ |  LOV
thank you |  LOV
swim back |  LOV
what a stupid statement  |  LOV
nancy salvage inbreed  invading another country is illegal |  LOV
dennis maye that may have been the case when your family crossed the atlantic  these people are refugees and the geneva convention gives them the right to flee conflict go spew your hate on infowars  |  LOV
dennis maye lol got ta love how your first  on your page is of a book called how to be a gentleman i m sure it says to attack the most vulnerable by making disparaging remarks about about refugees on the internet |  LOV
now they can swim back  |  LOV
maybe you should swim back since your family illegally immigrated to america |  LOV
great comeback  |  LOV
mark olson i admit repeating the stupid thing you said still sounds stupid |  LOV
ooooooo  |  LOV
made me puke  thanks pbs  |  LOV
good  europe can take all these  refugees   more power to them  |  LOV
 screw the less fortunate  must be your motto  |  LOV
  v23x14hs4glk |  LOV
you are awesome being malala  please be the voice of those innocent children all over the globe  congrats for your time and effort to better our society and future generations to come  best  stephan u  |  LOV
westerners seem to care so much about the plight of this one lady while ignoring the plights of millions of women and children who perished in libya  syria  yemen  afghanistan  iraq under intense western bombardments  the reason is that this lady is just playing a character  all of it is scripted to serve the geopolitical propaganda  taliban and western oligarchs are partners in crimes  |  LOV
notice that god is beginning to punish the westerners  |  LOV
many are concerned about the west s involvement in endless and unending foreign wars  it is difficult to get our politcians to give straight answers about this problem  trump campaigned saying he would end the usa s involvement in these wars  and now he is sending more troops to afghanistan   |  LOV
mh  be angry  |  LOV
your pints are valid  particularly about oligarchs  we have one here  but let s give her a chance to see who and what she becomes  because she is perceived as a crusader  people look up to her  let us watch and see  |  LOV
the war in afghanistan has nothing to do with  freedom  or fighting terrorism  that s how the war industry feeds itself by funding and arming the fictitious enemy they re allegedly fighting  look how our  heroes  are guarding the opium fields  they are not heroes actually  they are there to serve the rich in exchange of some benefits for themselves  the war industry as well as the veterans are liabilities on ordinary taxpayers       |  LOV
understood  it s a bigger problem than one child can represent  but we should see what she can do since she has the attention of much of the world now  if she is a puppet  it will shoe |  LOV
the best  strongest  bravest  truly a shinning light for her country and all who suffer political oppression  ca nt wait to see what you do next |  LOV
the real  woman of the year     forget brucecaitlin jenner  |  LOV
yet she is nt qualified to be our president lol |  LOV
congratulations  i am sure you are an inspiration to many  |  LOV
she is beyond brave  leep up your work  |  LOV
awesome  a milestone and celebration for all women  |  LOV
congratulations  keep moving forward    |  LOV
bravo |  LOV
  sticker   |  LOV
congratulations malala  you inspire us  |  LOV
have all the fun    |  LOV
👏🏼💪🏼👏🏼💪🏼👏🏼 |  LOV
special lady |  LOV
what an amazing woman |  LOV
