what a jerk  |  ANG
i personally believe that birth control should be provided for free to both sexes  including surgical sterilization if desired  we also need to have real sex education in schools  this would reduce abortions and unwanted pregnancies  let’s be realistic people  just because an egg is fertilized doesn’t make it a person  it is a single cell  it has no brain  we do not scream murder if someone scratches off a few skin cells  an iud is not an abortion  even without iuds  uncounted fertilized eggs do not implant and are expelled  we are not trying to save all those eggs  so why do so many see the iud as an  evil  thing  |  ANG
abortions are at an all time low in this country  a good paying job helps a ton  are we living in country of freedom or not  |  ANG
less access to birth control  more abortions  how is it these people ca nt do the math  |  ANG
it s ok  they ll just make sure the kiddos get that amazing abstinence education   yes  sarcasm  |  ANG
do nt support the  kaiser establishment  at all  yet neither the aborting of life  circumstances are an issue  🐞 |  ANG
i make a bad decision  i need the government to pay for it  i want to continue to make bad decisions  so my government tells me i can  for free   of course someone else is paying for it   continue on and ca nt afford to feed this  thing  so  the government steps in  for free  feeds it  now 60 yrs later never having a job the government pays to bury this  for free  in a nice pine box  what a life  government provided  |  ANG
you will never stop abortion  just reduce it s safety towards desperate women  |  ANG
birth control and abortion are part of woman s heath care period  |  ANG
best excuse to push for that medicare optionuniversal healthcare |  ANG
if you do nt want abortion  do nt get one  leave the rest of us to decide what s best for us |  ANG
need to make it available over the counter |  ANG
this is america religious beliefs and moral convictions do nt apply to everyone  🙂 |  ANG
ya know what stops the need for abortion  birth control  |  ANG
 legalized bigotry always more popular than illegal bigotry   freedom from religion very very important  |  ANG
fine line  birth control needs to be treated as any other prescription medication  period  cover it  or risk lawsuit under the ada when women who are prescribed the pill for medical reasons can actually claim discrimination  |  ANG
hey pro life jackasses mind your own business |  ANG
neither of which belongs in my healthcare plan at work  |  ANG
health care does nt belong in your health care plan  mkay   specifcally referencing birth control  btw   |  ANG
insurance  it s truly a strange concept  we buy life insurance  car insurance  home owners insurance and health insurance  the principle is the same for all  you pay into a system so that you are assured that if you get into a car accident  or your child breaks a neighbor s window  or someone slips on your front steps  or you need an appendectomy  the bills can be paid  you may not need many of this things  but knowing that you can cover those expenses of you do takes away some of the worry  we do nt say  well  i do nt have front steps so i do nt need that part  or  i do nt drive so our premium should be half of what you pay cause both you and your spouse drive  or  i am a single woman so my insurance should nt cover prostate exams  when did we lose it in all this  |  ANG
abortion is probably being done as a medical necessity  i doubt it is done for birth control |  ANG
yall have no right to my body  no one tells me what to do  |  ANG
prolifers are domestic terrorists  |  ANG
how do they feel about viagra  these old dudes are not using it to procreate so no coverage for them  hypocrites  |  ANG
oh for pete s sake contraceptives stop the need for abortion  it needs to be free and accessible |  ANG
it takes a man and a woman for the latter to become pregnant  so contraceptives are good for both parties  |  ANG
the issue has nothing to do with abortion  but control i am going to control your life because my dogma tells me to |  ANG
when it s men using birth control  it s not even be an issue  |  ANG
stop men for causing them to have an abortion  they are as much responsible as the woman  |  ANG
anti abortion  pro run down the protesters  hypocrites  |  ANG
when was the last time that you preached to men on facebook to abstain from sex or to use condoms every time  no  when was the last time you had a uterus  never  maybe you should just 🤐 |  ANG
it s sad that christians do nt believe their own faith members will do the right thing  |  ANG
 or it has to do with science  but the left doesn’t believe in science  |  ANG
wth are you talking about  |  ANG
the left  they don’t believe in science  |  ANG
unless you invite me into your bedroom  stay out of my wallet and pay for your own sex related items  |  ANG
i doubt anyone invites you to their bedroom the way you talk  oh  by the way  i know you re a troll  |  ANG
huh  |  ANG
dana sestak paris  fine  then buy an insurance policy that covers those things  no one is stopping you  but stay out of my wallet  |  ANG
maddie starr  hater  |  ANG
use a condom  every time or 🤐 |  ANG
if you dont like abortion  dont be anti contraceptive  |  ANG
they are against sex education in schools too  |  ANG
most people  even religious zealots that believe in  heaven  have no clue that life never begins or ends  it just changes form  stop it people  |  ANG
clearly the people who are demonstrating now do not need it  but should they   then what  |  ANG
and these people are too dense to understand that birthcontrol stops abortions  |  ANG
in roman empire saint paul never spoke about abortion or try to stop it  |  ANG
it s not a  loophole   it was explicitly written as a catch all phrase  |  ANG
women should protest and quit having sex till government defunds viagara  🤣🤣 |  ANG
i think not keeping some methods of birth control will mean more abortions  |  ANG
and more time away from fleecing employers  |  ANG
stop abortion  abortion can be stopped with forethought before foreplay  |  ANG
government small enough to fit in a woman s uterus  |  ANG
where is the separation of church and state  |  ANG
people  nobody has to have an abortion  |  ANG
bernie sanders supports the genocide of the handicapped people  |  ANG
being antiabortion is being a hostage taker of the worst kind  one who uses all the weight of stockholm syndrome  |  ANG
what s the dispute   life is a right |  ANG
yes  a woman s life is a right  are you suggesting that women should sacrifice their lives to give birth  |  ANG
yeah no abortions but lets nuc the dirty nk s   gop bible  |  ANG
today we learned   trump know s abortions can not be stopped and pence and his crowd are wasting their time    ‘you see  ’ trump asked pence  ‘you’ve wasted all this time and energy on it  and it’s not going to end abortion anyway’        |  ANG
i only agree with abortion when a future democrat would be born  |  ANG
hands off birth control and wade vs roe  |  ANG
birth control lessens needs for abortion  |  ANG
really  |  ANG
armchair ayatollahs  american taliban  |  ANG
problem solved        |  ANG
it s about control  |  ANG
not even  propregnancy   these cheap insurance policies 45 is promoting will probably not provide maternity benefits  and then if chip does not get funded more women will be left with no care  |  ANG
without comment      |  ANG
have people pay for their own health care |  ANG
true stop aboration |  ANG
 pbs  pedophilia betterment society  |  ANG
isn’t that the catholic church  🤷🏻‍♀️ |  ANG
allcaps means it s true  |  ANG
unglued liberals  like mcdonald s  i m loving it  |  ANG
douglas thomas      |  ANG
there is no such thing as transgender  only crossdressing males or females  |  ANG
kristii horn  hope your surname is inline with your beautiful beliefs  of satan  |  ANG
not hatred lynn d hall  common sense and sensibility  |  ANG
a man s cock does nt belong in another mans anus  period  |  ANG
douglas thomas but you obviously do believe your head belongs in your anus  |  ANG
gregory malush because you re infatuated with anus  maybe you re facilitating my entire girth inside you  |  ANG
chastity belt and hangers  |  ANG
keep abortion legal  |  ANG
deplorobles winning    |  ANG
brittany alexis orecchia |  ANG
antichoice is unamerican |  ANG
nothing  because he has no authority do change laws  |  ANG
well he own it now think god i dont have either |  ANG
better  cheaper  and great  |  ANG
it’s not trumps fault  it’s muller not getting his act together |  ANG
mind boggling  this move will actually cost the government more money  |  ANG
bigger tax cuts for the one percent  |  ANG
is this a f you to the people or to the insurance companies  |  ANG
what a total uncaring jerk that should not be in office  |  ANG
as always  the middle class  that doesn’t change |  ANG
has anyone thought that insurance companies are ripping us all off |  ANG
i pray that trump s grand children die of bone marrow cancer |  ANG
democrats have known for 7 years now  that they did not appropriate the        legally  to then pay those subsidies  stop trying to blame trump for something democrats failed to do in 7 years since obamacare was enacted  trump is following the us constitution  that a federal court said obama was not doing  that constitutional scholar knows the us house of representatives appropriates the         they did not care  they could have fixed it at any time over those 7 years but failed to do sowho controlled the house in 2010 and are the ones that legally appropriate funds  the republican controlled us house in 2010 obama did not care  because they never expected to lose to trump  |  ANG
so when will this go into effect  |  ANG
it is interesting that this will most likely cost the government more money  |  ANG
listen to trump not all that swap scum |  ANG
it s a subsidy that pays off big insurance and keeps prices high  |  ANG
just thinning out the stupid and the lazy |  ANG
as hitler would say  your covered with a blindfold  lined up against the wall        |  ANG
idiot in chief 💯 |  ANG
i’m beyond disgusted with that pig  |  ANG
best explanation i ve seen so far  |  ANG
trumpcare is diseased  |  ANG
call kevorkian 😳 |  ANG
how much longer  mueller   |  ANG
impeach |  ANG
interesting interview  thank you  |  ANG
good explanation  |  ANG
no words    |  ANG
important  |  ANG
all out of jealousy of obama  |  ANG
trump is making america suck again  |  ANG
i d like to give that sob a condition  |  ANG
bump trump     |  ANG
some of us are going to die  |  ANG
everyone needs to sue  |  ANG
can we stop this crap  |  ANG
dead babies  children  sick people  |  ANG
how can he  aca is the law  is nt it  |  ANG
|  ANG
dotardus corrumpt  |  ANG
good  let it crash  |  ANG
death    |  ANG
trumpfoolery |  ANG
doomed  as this country is becoming  |  ANG
|  ANG
he does not care |  ANG
shameful |  ANG
 trumpzadoosh🎺💩✴😜 |  ANG
horrific     |  ANG
many may die  |  ANG
get him out  get him out  get him out  |  ANG
form of genocide  |  ANG
hateful pig  |  ANG
sad sad   |  ANG
is good is alright |  ANG
he is heartless and soulless  |  ANG
   |  ANG
they die  |  ANG
 trumphatesyouall  intentionalact  trumpswantsyoualltodie |  ANG
1789 |  ANG
sue |  ANG
jerk |  ANG
carole broemer |  ANG
thank you mr president trump for doing the right thing  free markets is what we need  |  ANG
you get to die but you wo nt have to pay estate tax  |  ANG
everyone pays for everyone elses medical care  one way or another  |  ANG
i pray that trump s grandchildren die of bone marrow cancer |  ANG
trump is going to kill a lot of americans  out of spite  |  ANG
hope the modafucker croaks on live tv  |  ANG
this is why obamacare will fail  they will make it happen  |  ANG
does anybody know if trumpcare covers being sick of winning       |  ANG
why would these people be smiling  they are happy for higher premiums and more people dying  |  ANG
i take great great comfort in knowing these corrupt sob s will burn in hell for eternity  burn koch suckers burn         |  ANG
indict impeach |  ANG
frump has no clue  disgusting reptile |  ANG
thank you pbs for that information  |  ANG
gopdeath cult |  ANG
dick  |  ANG
seize the trump families rubles  |  ANG
who are all those smiling idiots    |  ANG
  sticker   |  ANG
who are the people clapping  |  ANG
trump is hate filled  he will kill people  next  war  |  ANG
rats  simply horrible heartless rats  |  ANG
  sticker   |  ANG
trump has no soul  |  ANG
brilliant  |  ANG
he is a heartless sob  |  ANG
immoral trump |  ANG
while the trump s get richer  the poor get poorer   |  ANG
look at those happy people  |  ANG
can not change laws  only congress  |  ANG
government  healthcare  garbage  |  ANG
what a  nasty  man  |  ANG
took a play out of obamas playbook  |  ANG
  sticker   |  ANG
monster  |  ANG
moron |  ANG
horrific     |  ANG
trumpcare |  ANG
biased media |  ANG
despicable lunatic |  ANG
he s winning  so winning  are we all tired of winning  |  ANG
potus  pos |  ANG
mueller    |  ANG
so gross  this is a nightmare  |  ANG
 25thamendment🍊💩 |  ANG
1 rand paul  |  ANG
1789 |  ANG
shame  |  ANG
trumpcare  |  ANG
🐷🐷🐷 |  ANG
putz |  ANG
bend over  say screw me        |  ANG
he is the enemy of the american people  |  ANG
true story    |  ANG
bambi |  ANG
thank you  |  ANG
liar in chief |  ANG
you did nt understand reagan  you do nt understand trump  just relax  we will maga  |  ANG
idiot |  ANG
moron  |  ANG
trump  you are a filthy rutting pig  |  ANG
45the destroyer in chief |  ANG
i hope he has a heart attack and dies today  he s useless  his supporters are idiots  |  ANG
just you wait and see  trump s got cards he s not showing  america plays the trump card      |  ANG
i wonder where all your money goes  trump  not to the us for taxes  |  ANG
i abhor  hate  and despise you  trump  you are dumber than a bag of nails  |  ANG
you can’t fix stupid  |  ANG
seriously question his mental state  |  ANG
he does nt seem to connect to what he s reading  what is wrong with him  |  ANG
f  king moron |  ANG
stop rolling boogers between index finger and thumb  it distracts from your brilliance  |  ANG
he’s jealous of and humiliated by obama this is trumps retaliation  |  ANG
oh dear now he’s sedated  his handlers needed to calm down the proud pussygrabber  |  ANG
you are the dangerous one trumpo |  ANG
he speaks so slowly because he reads at the speed of a snail  |  ANG
creating more hostility |  ANG
take your meds  trump  |  ANG
