if the president overloads congress  and they get nothing done  does it strengthen the bannon  trump  mission to campaign against an  ineffective  congress during the 2018 primaries  |  HAH
perhaps i ll ask your wife to pay it bob 🤑 |  HAH
no but they are on the same drugs  |  HAH
tortoise and the hair |  HAH
let them eat each other |  HAH
here is tamara on pbs  |  HAH
they are not even in the samae party  |  HAH
trump yesterdays news today   |  HAH
hes playing them both  |  HAH
not on the same book  |  HAH
no |  HAH
thunder dome  2 in 1 out  |  HAH
not even in the same book  |  HAH
nooooooo |  HAH
remember he is the liar in chief |  HAH
somebody get the crayons  |  HAH
we are lead by a petulant vulgarian  sad  |  HAH
a wasted iq  whatever it is  sad  |  HAH
i d love to see this  😂 |  HAH
moron in chief   |  HAH
moron  |  HAH
moron |  HAH
😂😂😂😂 |  HAH
please show the results on maury       |  HAH
😁😁😁      |  HAH
hahahahahahaha |  HAH
ooooh let’s do that  |  HAH
ok  put up your dukes and get down to it  |  HAH
ha ha ha ha ha ha ha ha ha ha ha ha ha ha    usa is becoming funnier and funnier  |  HAH
 thehillcomblogsintheknowintheknow354718mensaofferstohostiqtestfortrumpandtillerson |  HAH
nate woodard |  HAH
is this how someone with a high iq talks   youtubephi2jbrlmsw |  HAH
also  this is all irrelevant  go follow a real story  like kris kobach s systematic voter suppression   googlgfgbxn |  HAH
 youtube9lbasxq9nyc |  HAH
 youtube9lbasxq9nyc |  HAH
 |  HAH
  utmsourcefacebook  utmmediumsocial |  HAH
 thehillcomblogsintheknowintheknow354718mensaofferstohostiqtestfortrumpandtillerson  amp |  HAH
 youtubew3ouqkux2o0 |  HAH
  utmsourcefacebook  utmmediumsocial |  HAH
  vcdt9k5hz6so |  HAH
psychologically unfit  |  HAH
the human stain  |  HAH
a  there is no way of knowing what trump s iq is unless he took a legitimate test  some estimates are based on the fact that he was accepted to wharton  but even trump admitted that he got in because of a friendly admissions officer  perhaps made more friendly by daddy s bank account   b  judging from trump s  big word  vocabulary  the biggest words  all the best words   his linguistic intelligence is abysmal  and on top of that  based on his life history  his emotional intelligence  his interpersonal intelligence  and his existential  life smart  intelligence are all very low indeed  c  my point in b is completely supported by the fact that this man even needs to challenge a subordinate to an iq competition in the first place  |  HAH
for someone who is educated in private schools  he really is nt that smart  kind of tells you what the difference between private and public education can be  |  HAH
i do nt think that this one man can be used as a ruler to measure the success of all private schools  as i implied  he may have gotten into wharton  and he may have passed through their system with a degree  because of his father s wealth  it has been known to happen  |  HAH
